"2016-11-15 14:16:34,453",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-15 14:33:26,331",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:33:38,308",4,8,102,4,4,40,32,32,200,9,31.876777
"2016-11-15 14:33:51,595",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:34:04,758",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:34:17,572",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:34:31,088",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:34:44,051",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:34:56,970",4,8,102,4,4,40,32,32,200,9,31.867299
"2016-11-15 14:35:10,770",4,8,102,4,4,40,32,32,200,16,31.914692
"2016-11-15 14:35:24,489",4,8,102,4,4,40,32,32,200,8,31.810427
"2016-11-15 14:35:38,186",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:35:51,898",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:36:04,363",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:36:16,543",4,8,102,4,4,40,32,32,200,24,31.962085
"2016-11-15 14:36:28,979",4,8,102,4,4,40,32,32,200,19,31.933649
"2016-11-15 14:36:42,096",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:36:55,124",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:37:07,674",4,8,102,4,4,40,32,32,200,22,31.952607
"2016-11-15 14:37:21,744",4,8,102,4,4,40,32,32,200,18,31.924171
"2016-11-15 14:37:34,188",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:37:47,649",4,8,102,4,4,40,32,32,200,28,31.981043
"2016-11-15 14:38:00,983",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:38:14,457",4,8,102,4,4,40,32,32,200,32,32.000000
"2016-11-15 14:38:27,552",4,8,102,4,4,40,32,32,200,32,32.000000
