"2016-11-16 06:23:57,519",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 06:25:30,328",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 06:27:13,938",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:28:43,986",8,8,150,4,40,40,True,32,32,200,0,148
"2016-11-16 06:30:15,402",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:31:51,733",8,8,150,4,40,40,True,32,32,200,0,98
"2016-11-16 06:33:22,493",8,8,150,4,40,40,True,32,32,200,0,68
"2016-11-16 06:35:03,328",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:36:34,133",8,8,150,4,40,40,True,32,32,200,18,15
"2016-11-16 06:38:14,671",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:39:52,712",8,8,150,4,40,40,True,32,32,200,0,143
"2016-11-16 06:41:28,099",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:43:10,376",8,8,150,4,40,40,True,32,32,200,0,147
"2016-11-16 06:44:54,380",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:46:28,773",8,8,150,4,40,40,True,32,32,200,6,29
"2016-11-16 06:47:54,108",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:49:23,632",8,8,150,4,40,40,True,32,32,200,25,7
"2016-11-16 06:50:51,732",8,8,150,4,40,40,True,32,32,200,0,152
"2016-11-16 06:52:30,819",8,8,150,4,40,40,True,32,32,200,0,139
"2016-11-16 06:54:14,461",8,8,150,4,40,40,True,32,32,200,0,145
"2016-11-16 06:55:56,947",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:57:50,116",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:59:32,333",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:01:02,202",8,8,150,4,40,40,True,32,32,200,0,50
"2016-11-16 07:02:52,693",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:04:20,922",8,8,150,4,40,40,True,32,32,200,0,71
"2016-11-16 07:05:58,413",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:07:33,304",8,8,150,4,40,40,True,32,32,200,0,155
"2016-11-16 07:09:17,876",8,8,150,4,40,40,True,32,32,200,0,141
"2016-11-16 07:10:46,039",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 07:12:19,358",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 07:13:40,701",8,8,150,4,40,40,True,32,32,200,0,135
"2016-11-16 07:15:20,811",8,8,150,4,40,40,True,32,32,200,0,91
"2016-11-16 07:17:12,280",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:18:53,607",8,8,150,4,40,40,True,32,32,200,0,95
"2016-11-16 07:20:36,022",8,8,150,4,40,40,True,32,32,200,0,129
"2016-11-16 07:22:21,308",8,8,150,4,40,40,True,32,32,200,0,160
