"2016-11-15 12:56:22,404",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful
"2016-11-15 13:14:12,442",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:14:25,316",4,8,102,4,4,40,32,32,200,81.250000
"2016-11-15 13:14:39,401",4,8,102,4,4,40,32,32,200,68.750000
"2016-11-15 13:14:52,133",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:15:04,314",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:15:17,701",4,8,102,4,4,40,32,32,200,56.250000
"2016-11-15 13:15:29,788",4,8,102,4,4,40,32,32,200,75.000000
"2016-11-15 13:15:41,917",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:15:55,046",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:16:07,236",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:16:20,289",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:16:33,150",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:16:46,536",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:16:59,731",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:17:12,962",4,8,102,4,4,40,32,32,200,100.000000
"2016-11-15 13:17:26,924",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:17:39,831",4,8,102,4,4,40,32,32,200,65.625000
"2016-11-15 13:17:52,954",4,8,102,4,4,40,32,32,200,87.500000
"2016-11-15 13:18:05,879",4,8,102,4,4,40,32,32,200,25.000000
"2016-11-15 13:18:19,054",4,8,102,4,4,40,32,32,200,93.750000
