"2016-11-15 21:07:15,518",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-15 21:07:33,679",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:07:52,715",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:08:11,771",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:08:31,208",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:08:50,129",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:09:07,297",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:09:24,862",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:09:43,870",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:10:02,857",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:10:22,175",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:10:40,059",4,8,90,4,40,40,True,32,32,200,22,31.952607
"2016-11-15 21:10:59,784",4,8,90,4,40,40,True,32,32,200,20,31.943128
"2016-11-15 21:11:19,536",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:11:39,053",4,8,90,4,40,40,True,32,32,200,25,31.957346
"2016-11-15 21:11:59,656",4,8,90,4,40,40,True,32,32,200,14,31.876777
"2016-11-15 21:12:18,185",4,8,90,4,40,40,True,32,32,200,32,32.000000
