"2016-11-15 21:50:03,059",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-15 21:50:22,430",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:50:37,611",4,8,90,4,40,40,True,32,32,200,30,31.990521
"2016-11-15 21:50:55,814",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:51:13,803",4,8,90,4,40,40,True,32,32,200,30,31.990521
"2016-11-15 21:51:29,607",4,8,90,4,40,40,True,32,32,200,16,31.924171
"2016-11-15 21:51:49,040",4,8,90,4,40,40,True,32,32,200,0,31.696682
"2016-11-15 21:52:06,291",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:52:25,139",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:52:41,189",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:52:56,186",4,8,90,4,40,40,True,32,32,200,20,31.943128
"2016-11-15 21:53:10,498",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:53:29,487",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:53:46,358",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:54:01,288",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:54:17,883",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:54:36,131",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:54:54,203",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:55:10,486",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:55:27,809",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:55:44,294",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:56:02,039",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:56:19,478",4,8,90,4,40,40,True,32,32,200,31,31.995261
"2016-11-15 21:56:35,622",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:56:51,538",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:57:08,551",4,8,90,4,40,40,True,32,32,200,30,31.990521
"2016-11-15 21:57:27,110",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:57:43,681",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:58:01,482",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:58:16,824",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:58:34,071",4,8,90,4,40,40,True,32,32,200,18,31.933649
"2016-11-15 21:58:51,264",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:59:06,869",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:59:25,122",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 21:59:44,087",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 22:00:02,032",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 22:00:16,612",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 22:00:34,164",4,8,90,4,40,40,True,32,32,200,17,31.928910
"2016-11-15 22:00:52,816",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 22:01:09,139",4,8,90,4,40,40,True,32,32,200,26,31.971564
"2016-11-15 22:01:27,963",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 22:01:47,155",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 22:02:04,037",4,8,90,4,40,40,True,32,32,200,32,32.000000
"2016-11-15 22:02:21,492",4,8,90,4,40,40,True,32,32,200,16,31.924171
"2016-11-15 22:02:39,924",4,8,90,4,40,40,True,32,32,200,28,31.981043
