"2016-11-15 14:43:13,284",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-15 14:43:29,850",4,8,102,4,40,40,32,32,200,24,31.962085
"2016-11-15 14:43:45,632",4,8,102,4,40,40,32,32,200,16,31.905213
"2016-11-15 14:44:02,691",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:44:18,033",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:44:35,332",4,8,102,4,40,40,32,32,200,24,31.962085
"2016-11-15 14:44:47,502",4,8,102,4,40,40,32,32,200,20,31.933649
"2016-11-15 14:45:03,362",4,8,102,4,40,40,32,32,200,30,31.990521
"2016-11-15 14:45:18,746",4,8,102,4,40,40,32,32,200,24,31.962085
"2016-11-15 14:45:35,134",4,8,102,4,40,40,32,32,200,26,31.971564
"2016-11-15 14:45:52,506",4,8,102,4,40,40,32,32,200,20,31.943128
"2016-11-15 14:46:08,188",4,8,102,4,40,40,32,32,200,18,31.905213
"2016-11-15 14:46:23,453",4,8,102,4,40,40,32,32,200,10,31.867299
"2016-11-15 14:46:40,042",4,8,102,4,40,40,32,32,200,8,31.810427
"2016-11-15 14:46:55,904",4,8,102,4,40,40,32,32,200,8,31.857820
"2016-11-15 14:47:11,524",4,8,102,4,40,40,32,32,200,6,31.829384
"2016-11-15 14:47:26,857",4,8,102,4,40,40,32,32,200,30,31.990521
"2016-11-15 14:47:42,780",4,8,102,4,40,40,32,32,200,28,31.981043
"2016-11-15 14:47:57,914",4,8,102,4,40,40,32,32,200,24,31.962085
"2016-11-15 14:48:14,107",4,8,102,4,40,40,32,32,200,21,31.943128
"2016-11-15 14:48:28,985",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:48:42,897",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:48:58,339",4,8,102,4,40,40,32,32,200,30,31.990521
"2016-11-15 14:49:14,087",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:49:30,307",4,8,102,4,40,40,32,32,200,7,31.819905
"2016-11-15 14:49:48,717",4,8,102,4,40,40,32,32,200,14,31.895735
"2016-11-15 14:50:04,252",4,8,102,4,40,40,32,32,200,22,31.952607
"2016-11-15 14:50:20,177",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:50:36,691",4,8,102,4,40,40,32,32,200,26,31.971564
"2016-11-15 14:50:53,200",4,8,102,4,40,40,32,32,200,20,31.943128
"2016-11-15 14:51:08,028",4,8,102,4,40,40,32,32,200,30,31.990521
"2016-11-15 14:51:25,828",4,8,102,4,40,40,32,32,200,26,31.971564
"2016-11-15 14:51:42,145",4,8,102,4,40,40,32,32,200,16,31.924171
"2016-11-15 14:51:57,953",4,8,102,4,40,40,32,32,200,26,31.971564
"2016-11-15 14:52:13,819",4,8,102,4,40,40,32,32,200,30,31.990521
"2016-11-15 14:52:27,629",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:52:43,761",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:52:59,374",4,8,102,4,40,40,32,32,200,20,31.943128
"2016-11-15 14:53:15,118",4,8,102,4,40,40,32,32,200,17,31.914692
"2016-11-15 14:53:31,124",4,8,102,4,40,40,32,32,200,18,31.914692
"2016-11-15 14:53:46,632",4,8,102,4,40,40,32,32,200,16,31.914692
"2016-11-15 14:54:02,400",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:54:19,296",4,8,102,4,40,40,32,32,200,30,31.990521
"2016-11-15 14:54:33,543",4,8,102,4,40,40,32,32,200,20,31.943128
"2016-11-15 14:54:51,369",4,8,102,4,40,40,32,32,200,24,31.962085
"2016-11-15 14:55:08,635",4,8,102,4,40,40,32,32,200,8,31.848341
"2016-11-15 14:55:23,181",4,8,102,4,40,40,32,32,200,24,31.962085
"2016-11-15 14:55:38,872",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:55:53,977",4,8,102,4,40,40,32,32,200,32,32.000000
"2016-11-15 14:56:08,790",4,8,102,4,40,40,32,32,200,18,31.933649
"2016-11-15 14:56:24,958",4,8,102,4,40,40,32,32,200,6,31.848341
