"2017-05-02 18:12:22,968",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 18:42:42,456","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1161.44,500,100,50,0,0,1353,0,1400,0,1452
"2017-05-02 19:12:09,708","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1096.00,500,100,50,0,0,1365,0,1435,0,1449
"2017-05-02 19:41:23,014","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1076.79,500,100,50,0,0,1367,0,1462,0,1387
"2017-05-02 20:10:55,015","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1153.60,500,100,50,0,0,1369,0,1407,0,1476
"2017-05-02 20:40:20,028","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1149.59,500,100,50,0,0,1362,0,1486,0,1393
"2017-05-02 21:12:18,736","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1223.90,500,100,50,0,0,1366,0,1386,0,1452
"2017-05-02 21:42:28,202","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1103.58,500,100,50,0,0,1357,0,1448,0,1442
"2017-05-02 22:12:46,468","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1115.15,500,100,50,0,0,1346,0,1448,0,1443
"2017-05-02 22:42:53,050","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1098.28,500,100,50,0,0,1380,0,1434,0,1430
"2017-05-02 23:12:53,548","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1096.09,500,100,50,0,0,1353,0,1393,0,1418
"2017-05-02 23:42:29,706","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1080.58,500,100,50,0,0,1373,0,1413,0,1412
"2017-05-03 00:08:27,157","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,983.45,500,100,50,0,0,1385,0,1498,0,1410
"2017-05-03 00:36:23,212","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1054.07,500,100,50,0,0,1373,0,1447,0,1400
"2017-05-03 01:06:14,522","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1167.16,500,100,50,0,0,1363,0,1422,0,1437
"2017-05-03 01:36:32,164","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1204.56,500,100,50,0,0,1383,0,1426,0,1412
"2017-05-03 02:06:35,799","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1193.17,500,100,50,0,0,1376,0,1489,0,1379
"2017-05-03 02:37:06,994","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1218.52,500,100,50,0,0,1362,0,1401,0,1500
"2017-05-03 03:06:56,108","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1187.40,500,100,50,0,0,1366,0,1412,0,1411
"2017-05-03 03:32:59,326","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,995.36,500,100,50,0,0,1372,0,1420,0,1410
"2017-05-03 03:58:13,336","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,964.22,500,100,50,0,0,1374,0,1426,0,1410
"2017-05-03 04:23:19,127","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,958.51,500,100,50,0,0,1365,0,1435,0,1454
"2017-05-03 04:48:27,218","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,962.42,500,100,50,0,0,1373,0,1502,0,1456
"2017-05-03 05:13:43,897","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,959.99,500,100,50,0,0,1369,0,1443,0,1457
"2017-05-03 05:39:05,356","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,965.79,500,100,50,0,0,1366,0,1473,0,1402
"2017-05-03 06:04:12,863","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,960.17,500,100,50,0,0,1390,0,1457,0,1471
