"2017-05-03 06:05:41,266",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-03 06:32:11,633","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1046.38,500,100,50,0,0,1382,0,1448,0,1489
"2017-05-03 06:58:39,657","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1037.77,500,100,50,0,0,1311,0,1456,0,1454
"2017-05-03 07:25:03,968","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1043.82,500,100,50,0,0,1365,0,1501,0,1448
"2017-05-03 07:51:39,650","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1051.30,500,100,50,0,0,1359,0,1500,0,1627
"2017-05-03 08:18:09,771","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1044.47,500,100,50,0,0,1360,0,1433,0,1430
"2017-05-03 08:44:44,208","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1051.00,500,100,50,0,0,1366,0,1487,0,1537
"2017-05-03 09:11:18,233","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1046.59,500,100,50,0,0,1354,0,1562,0,1414
"2017-05-03 09:38:52,419","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1096.80,500,100,50,0,0,1356,0,1506,0,1405
"2017-05-03 10:09:31,244","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1151.00,500,100,50,0,0,1352,0,1471,0,1444
"2017-05-03 10:39:33,811","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1109.58,500,100,50,0,0,1365,0,1479,0,1502
"2017-05-03 11:06:28,433","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1029.46,500,100,50,0,0,1356,0,1477,0,1419
"2017-05-03 11:32:49,258","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1042.54,500,100,50,0,0,1394,0,1514,0,1531
"2017-05-03 11:59:14,033","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1041.18,500,100,50,0,0,1394,0,1480,0,1461
"2017-05-03 12:25:32,769","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1041.46,500,100,50,0,0,1354,0,1476,0,1476
"2017-05-03 12:52:01,682","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1046.47,500,100,50,0,0,1349,0,1485,0,1424
"2017-05-03 13:20:30,603","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1105.57,500,100,50,0,0,1352,0,1519,0,1401
"2017-05-03 13:51:50,973","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1191.26,500,100,50,0,0,1364,0,1492,0,1504
"2017-05-03 14:23:09,767","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1191.95,500,100,50,0,0,1347,0,1501,0,1500
"2017-05-03 14:54:36,535","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1199.68,500,100,50,0,0,1410,0,1489,0,1477
"2017-05-03 15:21:01,387","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1043.30,500,100,50,0,0,1351,0,1503,0,1470
"2017-05-03 15:49:02,573","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1097.54,500,100,50,0,0,1402,0,1477,0,1410
"2017-05-03 16:20:29,137","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1201.40,500,100,50,0,0,1384,0,1512,0,1441
"2017-05-03 16:48:05,851","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1054.15,500,100,50,0,0,1355,0,1532,0,1439
"2017-05-03 17:14:05,295","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1000.32,500,100,50,0,0,1380,0,1536,0,1425
"2017-05-03 17:40:25,902","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1046.85,500,100,50,0,0,1358,0,1463,0,1449
