"2017-05-04 02:37:36,351",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 02:41:16,559","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,23.94,105,1480,704,1480,688,370,105
"2017-05-04 02:45:07,216","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,34.02,96,1480,711,1480,673,370,96
"2017-05-04 02:48:56,163","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,30.03,107,1480,709,1480,662,370,107
"2017-05-04 02:52:59,307","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,42.21,111,1480,693,1480,647,370,111
"2017-05-04 02:57:00,857","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,38.52,108,1480,685,1480,660,370,108
"2017-05-04 03:00:44,705","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,27.42,114,1480,705,1480,656,370,114
"2017-05-04 03:04:24,797","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,27.90,101,1480,722,1480,640,370,101
"2017-05-04 03:08:13,707","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,32.05,104,1480,684,1480,671,370,104
"2017-05-04 03:12:09,491","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,36.30,111,1480,675,1480,641,370,111
"2017-05-04 03:16:06,087","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,39.80,110,1480,691,1480,646,370,110
"2017-05-04 03:20:04,199","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,41.52,108,1480,720,1480,680,370,108
"2017-05-04 03:24:01,358","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,39.32,111,1480,705,1480,611,370,111
"2017-05-04 03:27:57,322","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,35.49,100,1480,725,1480,670,370,100
"2017-05-04 03:31:52,583","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,34.57,96,1480,688,1480,636,370,96
"2017-05-04 03:35:43,224","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,37.37,106,1480,735,1480,665,370,106
"2017-05-04 03:39:31,451","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,34.00,121,1480,722,1480,652,370,121
"2017-05-04 03:43:22,077","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,36.39,101,1480,711,1480,647,370,101
"2017-05-04 03:47:15,701","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,33.40,94,1480,727,1480,673,370,94
"2017-05-04 03:51:06,774","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,29.64,103,1480,720,1480,658,370,103
"2017-05-04 03:54:51,063","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,28.76,107,1480,680,1480,673,370,107
"2017-05-04 03:58:45,627","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,33.45,97,1480,723,1480,657,370,97
"2017-05-04 04:02:45,867","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,44.03,86,1480,711,1480,649,370,86
"2017-05-04 04:06:45,661","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,38.50,121,1480,705,1480,669,370,121
"2017-05-04 04:10:32,220","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,30.57,93,1480,700,1480,632,370,93
"2017-05-04 04:14:35,612","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,41.87,113,1480,681,1480,668,370,113
