"2017-04-30 18:11:45,290",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-30 18:14:30,043","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,30.08,160,1480,983,1480,1209,370,160
"2017-04-30 18:17:07,982","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,25.69,94,1480,990,1480,1226,370,94
"2017-04-30 18:19:34,802","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,17.65,114,1480,987,1480,1178,370,114
"2017-04-30 18:22:17,433","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,28.59,74,1480,977,1480,1195,370,74
"2017-04-30 18:24:57,543","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,25.74,66,1480,1137,1480,1220,370,66
"2017-04-30 18:27:35,352","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,21.98,116,1480,1021,1480,1190,370,116
"2017-04-30 18:30:04,372","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,17.47,142,1480,1023,1480,1189,370,142
"2017-04-30 18:32:39,558","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,24.98,157,1480,1019,1480,1219,370,157
"2017-04-30 18:35:18,543","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,28.16,163,1480,986,1480,1184,370,163
"2017-04-30 18:37:39,858","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,15.08,123,1480,1016,1480,1157,370,123
"2017-04-30 18:40:13,328","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,23.64,129,1480,982,1480,1191,370,129
"2017-04-30 18:42:53,671","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,26.77,146,1480,942,1480,1177,370,146
"2017-04-30 18:45:31,388","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,27.08,131,1480,986,1480,1199,370,131
"2017-04-30 18:48:02,617","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,20.63,110,1480,995,1480,1188,370,110
"2017-04-30 18:50:31,989","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,16.83,143,1480,1072,1480,1221,370,143
"2017-04-30 18:53:07,115","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,24.74,88,1480,980,1480,1233,370,88
"2017-04-30 18:55:38,737","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,20.60,71,1480,995,1480,1189,370,71
"2017-04-30 18:58:06,462","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,17.87,78,1480,1021,1480,1204,370,78
"2017-04-30 19:00:40,169","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,24.18,181,1480,1022,1480,1211,370,181
"2017-04-30 19:03:19,277","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,28.09,145,1480,999,1480,1199,370,145
"2017-04-30 19:05:57,435","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,27.56,149,1480,1066,1480,1217,370,149
"2017-04-30 19:08:36,867","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,27.17,115,1480,970,1480,1185,370,115
"2017-04-30 19:11:04,144","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,17.09,151,1480,1008,1480,1240,370,151
"2017-04-30 19:13:50,193","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,31.81,94,1480,1019,1480,1228,370,94
"2017-04-30 19:16:35,880","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,31.15,168,1480,1028,1480,1185,370,168
"2017-04-30 18:13:50,200","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,12.86,116,1480,973,1480,1218,370,116
"2017-04-30 18:15:50,156","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,12.35,143,1480,999,1480,1232,370,143
"2017-04-30 18:17:52,936","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,13.44,93,1480,1025,1480,1167,370,93
"2017-04-30 18:19:53,819","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,13.89,164,1480,991,1480,1175,370,164
"2017-04-30 18:21:56,665","20,20,20","20,20,20",16,12,12,12,True,LinearRegression,4,12.26,163,1480,969,1480,1186,370,163
