"2017-05-02 19:57:25,339",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:58:12,754","32","40",110,4,0,0,True,LinearRegression,37.44,32,32,200,1,32,0
"2017-05-02 19:58:59,681","32","40",110,4,0,0,True,LinearRegression,36.96,32,32,200,1,32,0
"2017-05-02 19:59:46,782","32","40",110,4,0,0,True,LinearRegression,37.25,32,32,200,1,32,0
"2017-05-02 20:00:33,949","32","40",110,4,0,0,True,LinearRegression,37.21,32,32,200,1,32,0
"2017-05-02 20:01:21,011","32","40",110,4,0,0,True,LinearRegression,37.30,32,32,200,1,32,0
"2017-05-02 20:02:08,109","32","40",110,4,0,0,True,LinearRegression,37.14,32,32,200,1,32,0
"2017-05-02 20:02:56,848","32","40",110,4,0,0,True,LinearRegression,38.85,32,32,200,1,32,0
"2017-05-02 20:03:44,333","32","40",110,4,0,0,True,LinearRegression,37.55,32,32,200,1,32,0
"2017-05-02 20:04:31,423","32","40",110,4,0,0,True,LinearRegression,37.37,32,32,200,1,32,0
"2017-05-02 20:05:18,587","32","40",110,4,0,0,True,LinearRegression,37.23,32,32,200,1,32,0
"2017-05-02 20:06:05,609","32","40",110,4,0,0,True,LinearRegression,37.11,32,32,200,1,32,0
"2017-05-02 20:06:52,529","32","40",110,4,0,0,True,LinearRegression,36.99,32,32,200,1,32,0
"2017-05-02 20:07:39,625","32","40",110,4,0,0,True,LinearRegression,37.14,32,32,200,1,32,0
"2017-05-02 20:08:26,816","32","40",110,4,0,0,True,LinearRegression,37.27,32,32,200,1,32,0
"2017-05-02 20:09:13,991","32","40",110,4,0,0,True,LinearRegression,37.34,32,32,200,1,32,0
"2017-05-02 20:10:00,981","32","40",110,4,0,0,True,LinearRegression,37.02,32,32,200,1,32,0
"2017-05-02 20:10:47,819","32","40",110,4,0,0,True,LinearRegression,37.00,32,32,200,1,32,0
"2017-05-02 20:11:34,962","32","40",110,4,0,0,True,LinearRegression,37.19,32,32,200,1,32,0
"2017-05-02 20:12:22,172","32","40",110,4,0,0,True,LinearRegression,37.17,32,32,200,1,32,0
"2017-05-02 20:13:09,110","32","40",110,4,0,0,True,LinearRegression,36.90,32,32,200,1,32,0
"2017-05-02 20:13:56,329","32","40",110,4,0,0,True,LinearRegression,37.22,32,32,200,1,32,0
"2017-05-02 20:14:43,474","32","40",110,4,0,0,True,LinearRegression,37.22,32,32,200,1,32,0
"2017-05-02 20:15:30,504","32","40",110,4,0,0,True,LinearRegression,36.93,32,32,200,1,32,0
"2017-05-02 20:16:17,516","32","40",110,4,0,0,True,LinearRegression,36.93,32,32,200,1,32,0
"2017-05-02 20:17:05,542","32","40",110,4,0,0,True,LinearRegression,38.13,32,32,200,1,32,0
