"2017-05-02 18:12:54,895",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 18:43:32,184","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1158.56,500,100,50,0,0,1357,0,1423,0,1422
"2017-05-02 19:15:08,631","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1200.99,500,100,50,0,0,1352,0,1436,0,1413
"2017-05-02 19:43:10,459","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1076.10,500,100,50,0,0,1393,0,1447,0,1451
"2017-05-02 20:09:34,419","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1044.82,500,100,50,0,0,1382,0,1378,0,1416
"2017-05-02 20:35:50,247","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1039.05,500,100,50,0,0,1385,0,1425,0,1451
"2017-05-02 21:05:24,818","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1140.26,500,100,50,0,0,1392,0,1419,0,1436
"2017-05-02 21:36:07,497","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1165.42,500,100,50,0,0,1391,0,1426,0,1409
"2017-05-02 22:07:16,548","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1186.46,500,100,50,0,0,1368,0,1470,0,1462
"2017-05-02 22:36:26,855","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1078.33,500,100,50,0,0,1386,0,1424,0,1426
"2017-05-02 23:06:50,166","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1147.73,500,100,50,0,0,1364,0,1415,0,1436
"2017-05-02 23:37:16,840","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1156.42,500,100,50,0,0,1365,0,1405,0,1453
"2017-05-03 00:04:00,958","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1064.34,500,100,50,0,0,1340,0,1379,0,1450
"2017-05-03 00:33:47,145","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1142.89,500,100,50,0,0,1369,0,1470,0,1355
"2017-05-03 01:04:47,735","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1184.51,500,100,50,0,0,1375,0,1429,0,1445
"2017-05-03 01:35:54,249","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1193.17,500,100,50,0,0,1371,0,1468,0,1405
"2017-05-03 02:06:55,201","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1190.27,500,100,50,0,0,1379,0,1460,0,1413
"2017-05-03 02:37:18,260","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1144.72,500,100,50,0,0,1376,0,1463,0,1447
"2017-05-03 03:06:53,375","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1109.60,500,100,50,0,0,1375,0,1415,0,1467
"2017-05-03 03:33:12,739","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1022.78,500,100,50,0,0,1360,0,1510,0,1398
"2017-05-03 03:59:24,150","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1041.45,500,100,50,0,0,1371,0,1472,0,1408
"2017-05-03 04:25:28,285","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1036.36,500,100,50,0,0,1385,0,1465,0,1442
"2017-05-03 04:51:45,173","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1046.46,500,100,50,0,0,1353,0,1466,0,1427
"2017-05-03 05:18:00,746","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1044.50,500,100,50,0,0,1352,0,1434,0,1438
"2017-05-03 05:44:23,955","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1054.83,500,100,50,0,0,1399,0,1428,0,1441
"2017-05-03 06:10:25,537","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1035.20,500,100,50,0,0,1365,0,1429,0,1426
