"2017-05-02 19:13:30,863",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:14:26,612","32","40",54,4,0,0,True,LinearRegression,43.60,32,32,200,1,32,0
"2017-05-02 19:15:21,908","32","40",54,4,0,0,True,LinearRegression,43.03,32,32,200,0,31,1
"2017-05-02 19:16:15,221","32","40",54,4,0,0,True,LinearRegression,41.14,32,32,200,1,32,0
"2017-05-02 19:17:08,538","32","40",54,4,0,0,True,LinearRegression,41.09,32,32,200,1,32,0
"2017-05-02 19:18:00,399","32","40",54,4,0,0,True,LinearRegression,39.73,32,32,200,0,31,1
"2017-05-02 19:18:53,105","32","40",54,4,0,0,True,LinearRegression,40.51,32,32,200,1,32,0
"2017-05-02 19:19:46,500","32","40",54,4,0,0,True,LinearRegression,40.65,32,32,200,0,31,1
"2017-05-02 19:20:38,656","32","40",54,4,0,0,True,LinearRegression,39.70,32,32,200,1,32,0
"2017-05-02 19:21:30,233","32","40",54,4,0,0,True,LinearRegression,39.58,32,32,200,1,32,0
"2017-05-02 19:22:29,924","32","40",54,4,0,0,True,LinearRegression,47.28,32,32,200,1,32,0
"2017-05-02 19:23:28,186","32","40",54,4,0,0,True,LinearRegression,45.67,32,32,200,1,32,0
"2017-05-02 19:24:27,949","32","40",54,4,0,0,True,LinearRegression,47.25,32,32,200,1,32,0
"2017-05-02 19:25:29,851","32","40",54,4,0,0,True,LinearRegression,49.61,32,32,200,1,32,0
"2017-05-02 19:26:32,578","32","40",54,4,0,0,True,LinearRegression,50.48,32,32,200,1,32,0
"2017-05-02 19:27:35,205","32","40",54,4,0,0,True,LinearRegression,50.12,32,32,200,1,32,0
"2017-05-02 19:28:38,700","32","40",54,4,0,0,True,LinearRegression,50.88,32,32,200,1,32,0
"2017-05-02 19:29:40,775","32","40",54,4,0,0,True,LinearRegression,49.50,32,32,200,0,31,1
"2017-05-02 19:30:46,504","32","40",54,4,0,0,True,LinearRegression,53.70,32,32,200,1,32,0
"2017-05-02 19:31:51,350","32","40",54,4,0,0,True,LinearRegression,52.85,32,32,200,1,32,0
"2017-05-02 19:32:55,678","32","40",54,4,0,0,True,LinearRegression,52.19,32,32,200,1,32,0
"2017-05-02 19:33:57,793","32","40",54,4,0,0,True,LinearRegression,51.69,32,32,200,1,32,0
"2017-05-02 19:35:01,746","32","40",54,4,0,0,True,LinearRegression,52.73,32,32,200,1,32,0
"2017-05-02 19:35:58,626","32","40",54,4,0,0,True,LinearRegression,45.07,32,32,200,1,32,0
"2017-05-02 19:36:49,457","32","40",54,4,0,0,True,LinearRegression,39.38,32,32,200,0,31,1
"2017-05-02 19:37:45,603","32","40",54,4,0,0,True,LinearRegression,44.87,32,32,200,1,32,0
