"2017-04-28 02:06:47,838",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 02:08:38,818","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.46,120,1480,1008,1480,919,370,120
"2017-04-28 02:10:29,225","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.83,128,1480,1034,1480,895,370,128
"2017-04-28 02:12:20,667","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.88,142,1480,998,1480,918,370,142
"2017-04-28 02:14:12,267","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.89,141,1480,1006,1480,898,370,141
"2017-04-28 02:16:04,464","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.20,136,1480,1024,1480,915,370,136
"2017-04-28 02:17:55,482","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.62,150,1480,983,1480,866,370,150
"2017-04-28 02:19:47,049","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.15,139,1480,1002,1480,902,370,139
"2017-04-28 02:21:38,918","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.16,124,1480,987,1480,874,370,124
"2017-04-28 02:23:31,460","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.06,151,1480,972,1480,917,370,151
"2017-04-28 02:25:22,564","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.73,119,1480,988,1480,905,370,119
"2017-04-28 02:27:14,673","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.03,138,1480,1029,1480,923,370,138
"2017-04-28 02:29:06,397","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.21,138,1480,972,1480,917,370,138
"2017-04-28 02:30:58,924","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.13,131,1480,1003,1480,902,370,131
"2017-04-28 02:32:50,700","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.95,140,1480,997,1480,928,370,140
"2017-04-28 02:34:43,138","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.05,125,1480,1013,1480,921,370,125
"2017-04-28 02:36:35,368","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,14.15,144,1480,1010,1480,918,370,144
"2017-04-28 02:38:27,624","20,20,20","20,20,20",54,12,12,12,True,LinearRegression,4,13.78,133,1480,1023,1480,912,370,133
