"2017-04-28 20:18:13,241",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 20:20:29,411","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.44,109,1480,794,1480,721,370,109
"2017-04-28 20:22:43,733","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.12,110,1480,774,1480,710,370,110
"2017-04-28 20:24:59,992","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.51,107,1480,792,1480,728,370,107
"2017-04-28 20:27:16,956","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.73,93,1480,799,1480,709,370,93
"2017-04-28 20:29:33,937","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.18,91,1480,775,1480,695,370,91
"2017-04-28 20:31:48,341","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.74,98,1480,777,1480,717,370,98
"2017-04-28 20:34:05,137","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.07,92,1480,765,1480,722,370,92
"2017-04-28 20:36:15,831","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.32,95,1480,799,1480,709,370,95
"2017-04-28 20:38:27,546","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.30,107,1480,774,1480,733,370,107
"2017-04-28 20:40:39,144","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.85,97,1480,800,1480,717,370,97
"2017-04-28 20:42:50,482","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.42,99,1480,765,1480,702,370,99
"2017-04-28 20:45:04,868","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.03,102,1480,793,1480,758,370,102
"2017-04-28 20:47:21,996","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.31,90,1480,802,1480,730,370,90
"2017-04-28 20:49:34,333","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.19,101,1480,775,1480,689,370,101
"2017-04-28 20:51:44,607","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.51,83,1480,782,1480,699,370,83
"2017-04-28 20:53:54,198","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,11.64,96,1480,805,1480,728,370,96
"2017-04-28 20:56:04,079","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.24,97,1480,792,1480,728,370,97
"2017-04-28 20:58:15,398","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.45,97,1480,779,1480,713,370,97
"2017-04-28 21:00:23,738","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.49,101,1480,783,1480,709,370,101
"2017-04-28 21:02:31,235","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.56,100,1480,796,1480,716,370,100
"2017-04-28 21:04:39,554","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.87,93,1480,771,1480,695,370,93
"2017-04-28 21:06:47,677","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.95,105,1480,778,1480,706,370,105
"2017-04-28 21:08:56,572","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.90,99,1480,745,1480,722,370,99
"2017-04-28 21:11:04,823","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.60,94,1480,791,1480,728,370,94
"2017-04-28 21:13:04,557","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.94,90,1480,791,1480,724,370,90
"2017-04-28 20:19:53,792","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,11.58,112,1480,785,1480,743,370,112
"2017-04-28 20:22:07,461","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.95,104,1480,765,1480,743,370,104
"2017-04-28 20:24:20,166","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.70,106,1480,745,1480,711,370,106
"2017-04-28 20:26:34,057","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.34,90,1480,777,1480,724,370,90
"2017-04-28 20:28:49,063","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.45,99,1480,809,1480,701,370,99
"2017-04-28 20:31:06,808","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.89,96,1480,823,1480,723,370,96
"2017-04-28 20:33:22,314","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.52,99,1480,775,1480,686,370,99
"2017-04-28 20:35:36,912","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.05,99,1480,790,1480,710,370,99
"2017-04-28 20:37:53,190","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.62,100,1480,805,1480,726,370,100
"2017-04-28 20:40:10,125","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.13,102,1480,769,1480,688,370,102
"2017-04-28 20:42:25,828","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.71,110,1480,787,1480,703,370,110
"2017-04-28 20:44:45,313","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.74,96,1480,791,1480,718,370,96
"2017-04-28 20:47:01,904","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.69,101,1480,746,1480,674,370,101
"2017-04-28 20:49:20,556","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.65,109,1480,766,1480,710,370,109
"2017-04-28 20:51:37,699","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.42,102,1480,791,1480,730,370,102
"2017-04-28 20:53:56,377","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.12,104,1480,784,1480,719,370,104
"2017-04-28 20:56:13,958","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.42,92,1480,779,1480,691,370,92
"2017-04-28 20:58:29,898","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.00,99,1480,793,1480,722,370,99
"2017-04-28 21:00:36,867","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,11.49,100,1480,803,1480,708,370,100
"2017-04-28 21:02:43,437","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.05,102,1480,779,1480,721,370,102
"2017-04-28 21:04:52,304","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.65,90,1480,781,1480,730,370,90
"2017-04-28 21:07:00,315","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.37,112,1480,787,1480,724,370,112
"2017-04-28 21:09:08,076","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.34,98,1480,784,1480,696,370,98
"2017-04-28 21:11:16,111","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.64,94,1480,763,1480,708,370,94
"2017-04-28 21:13:13,567","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,10.88,100,1480,789,1480,685,370,100
"2017-04-28 20:18:53,398","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.26,93,1480,780,1480,717,370,93
"2017-04-28 20:21:07,870","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.92,108,1480,781,1480,712,370,108
"2017-04-28 20:23:21,332","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.89,97,1480,769,1480,702,370,97
"2017-04-28 20:25:30,868","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.02,97,1480,755,1480,692,370,97
"2017-04-28 20:27:46,588","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.90,93,1480,796,1480,725,370,93
"2017-04-28 20:29:59,878","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.30,95,1480,764,1480,708,370,95
"2017-04-28 20:32:13,983","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.35,105,1480,795,1480,702,370,105
"2017-04-28 20:34:28,457","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.20,98,1480,777,1480,698,370,98
"2017-04-28 20:36:43,967","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.90,95,1480,795,1480,708,370,95
"2017-04-28 20:39:01,790","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.94,108,1480,809,1480,733,370,108
"2017-04-28 20:41:16,038","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.73,101,1480,766,1480,732,370,101
"2017-04-28 20:43:30,001","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.38,91,1480,782,1480,726,370,91
"2017-04-28 20:45:44,755","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.20,103,1480,782,1480,692,370,103
"2017-04-28 20:47:56,454","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.57,105,1480,802,1480,744,370,105
"2017-04-28 20:50:06,290","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.43,105,1480,782,1480,717,370,105
"2017-04-28 20:52:19,235","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.18,92,1480,785,1480,701,370,92
"2017-04-28 20:54:28,735","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.24,95,1480,779,1480,690,370,95
"2017-04-28 20:56:40,281","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.57,93,1480,823,1480,697,370,93
"2017-04-28 20:58:51,417","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.33,107,1480,799,1480,700,370,107
"2017-04-28 21:00:58,586","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.64,89,1480,788,1480,727,370,89
"2017-04-28 21:03:07,322","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.00,100,1480,785,1480,723,370,100
"2017-04-28 21:05:14,411","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.70,115,1480,766,1480,742,370,115
"2017-04-28 21:07:23,255","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.58,99,1480,804,1480,748,370,99
"2017-04-28 21:09:31,012","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.97,97,1480,795,1480,722,370,97
"2017-04-28 21:11:38,171","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.27,105,1480,794,1480,735,370,105
"2017-04-28 20:19:36,979","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,11.90,110,1480,788,1480,720,370,110
"2017-04-28 20:21:50,066","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.20,93,1480,789,1480,721,370,93
"2017-04-28 20:24:01,373","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.89,119,1480,779,1480,729,370,119
"2017-04-28 20:26:15,639","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.24,102,1480,781,1480,712,370,102
"2017-04-28 20:28:30,084","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.47,112,1480,774,1480,679,370,112
"2017-04-28 20:30:43,314","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.49,100,1480,812,1480,708,370,100
"2017-04-28 20:32:53,941","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.03,92,1480,789,1480,711,370,92
"2017-04-28 20:35:07,070","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.03,90,1480,778,1480,717,370,90
"2017-04-28 20:37:19,041","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.06,110,1480,797,1480,728,370,110
"2017-04-28 20:39:31,083","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.71,103,1480,767,1480,741,370,103
"2017-04-28 20:41:43,102","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.27,83,1480,798,1480,722,370,83
"2017-04-28 20:43:55,812","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.12,98,1480,789,1480,707,370,98
"2017-04-28 20:46:08,993","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.31,95,1480,771,1480,702,370,95
"2017-04-28 20:48:20,583","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.47,102,1480,810,1480,725,370,102
"2017-04-28 20:50:35,922","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.44,101,1480,793,1480,714,370,101
"2017-04-28 20:52:51,460","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.84,98,1480,804,1480,734,370,98
"2017-04-28 20:55:09,590","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.98,89,1480,782,1480,704,370,89
"2017-04-28 20:57:27,918","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,15.51,111,1480,780,1480,710,370,111
"2017-04-28 20:59:37,967","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.61,104,1480,792,1480,697,370,104
"2017-04-28 21:01:43,717","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.00,92,1480,792,1480,714,370,92
"2017-04-28 21:03:54,273","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.67,111,1480,748,1480,716,370,111
"2017-04-28 21:06:00,055","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,12.77,90,1480,819,1480,707,370,90
"2017-04-28 21:08:08,863","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.43,100,1480,789,1480,704,370,100
"2017-04-28 21:10:16,191","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,14.15,105,1480,789,1480,711,370,105
"2017-04-28 21:12:20,795","20,20,20","20,20,20",60,12,12,12,True,LinearRegression,4,13.79,102,1480,791,1480,738,370,102
