"2017-04-27 22:51:42,796",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,
"2017-04-27 23:23:36,372","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.60,103,1480,782,1480,729,370,103
"2017-04-27 23:25:44,011","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.43,123,1480,767,1480,745,370,123
"2017-04-27 23:27:49,161","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.34,115,1480,780,1480,744,370,115
"2017-04-27 23:29:52,788","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.32,118,1480,799,1480,731,370,118
"2017-04-27 23:31:58,752","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.04,86,1480,780,1480,736,370,86
"2017-04-27 23:34:06,778","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,15.07,113,1480,821,1480,734,370,113
"2017-04-27 23:36:13,513","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.29,109,1480,808,1480,750,370,109
"2017-04-27 23:38:20,176","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.81,96,1480,790,1480,726,370,96
"2017-04-27 23:40:31,966","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.51,90,1480,781,1480,725,370,90
"2017-04-27 23:42:45,772","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,16.17,92,1480,814,1480,768,370,92
"2017-04-27 22:53:38,105","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.26,85,1480,795,1480,739,370,85
"2017-04-27 22:55:33,443","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.03,104,1480,784,1480,733,370,104
"2017-04-27 22:57:28,749","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.56,105,1480,808,1480,736,370,105
"2017-04-27 22:59:24,384","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.45,98,1480,785,1480,724,370,98
"2017-04-27 23:01:19,386","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.55,112,1480,788,1480,762,370,112
"2017-04-27 23:03:12,073","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,12.11,104,1480,797,1480,763,370,104
"2017-04-27 23:05:06,411","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.07,108,1480,766,1480,744,370,108
"2017-04-27 23:07:02,036","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.40,112,1480,812,1480,735,370,112
"2017-04-27 23:08:58,238","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.05,118,1480,789,1480,724,370,118
"2017-04-27 23:10:53,575","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.06,106,1480,800,1480,780,370,106
"2017-04-27 23:12:49,704","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.82,102,1480,816,1480,756,370,102
"2017-04-27 23:14:51,407","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.32,107,1480,807,1480,727,370,107
"2017-04-27 23:16:58,123","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,16.15,97,1480,787,1480,749,370,97
"2017-04-27 23:19:02,818","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.91,107,1480,783,1480,739,370,107
"2017-04-27 23:21:05,258","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,12.03,99,1480,761,1480,729,370,99
"2017-04-27 23:23:07,519","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.85,95,1480,791,1480,734,370,95
"2017-04-27 23:25:11,724","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.73,85,1480,799,1480,719,370,85
"2017-04-27 23:27:17,083","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.67,105,1480,805,1480,723,370,105
"2017-04-27 23:29:19,457","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,12.67,110,1480,801,1480,720,370,110
"2017-04-27 23:31:24,445","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.96,110,1480,796,1480,728,370,110
"2017-04-27 23:33:26,952","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,11.93,105,1480,823,1480,718,370,105
"2017-04-27 23:35:31,077","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,13.43,90,1480,802,1480,728,370,90
"2017-04-27 23:37:36,414","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.98,103,1480,785,1480,750,370,103
"2017-04-27 23:39:41,025","20,20,20","20,20,20",90,12,12,12,True,LinearRegression,4,14.11,99,1480,814,1480,768,370,99
