"2017-05-02 19:13:24,231",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:14:26,577","32","40",54,4,0,0,True,LinearRegression,49.84,32,32,200,0,31,1
"2017-05-02 19:15:28,765","32","40",54,4,0,0,True,LinearRegression,49.77,32,32,200,1,32,0
"2017-05-02 19:16:34,724","32","40",54,4,0,0,True,LinearRegression,53.48,32,32,200,0,30,2
"2017-05-02 19:17:39,379","32","40",54,4,0,0,True,LinearRegression,51.88,32,32,200,1,32,0
"2017-05-02 19:18:31,896","32","40",54,4,0,0,True,LinearRegression,40.18,32,32,200,1,32,0
"2017-05-02 19:19:33,168","32","40",54,4,0,0,True,LinearRegression,49.17,32,32,200,1,32,0
"2017-05-02 19:20:32,126","32","40",54,4,0,0,True,LinearRegression,46.75,32,32,200,1,32,0
"2017-05-02 19:21:26,458","32","40",54,4,0,0,True,LinearRegression,42.36,32,32,200,1,32,0
"2017-05-02 19:22:19,725","32","40",54,4,0,0,True,LinearRegression,41.28,32,32,200,1,32,0
"2017-05-02 19:23:12,465","32","40",54,4,0,0,True,LinearRegression,40.37,32,32,200,0,30,2
"2017-05-02 19:24:17,008","32","40",54,4,0,0,True,LinearRegression,51.99,32,32,200,1,32,0
"2017-05-02 19:25:19,639","32","40",54,4,0,0,True,LinearRegression,50.01,32,32,200,1,32,0
"2017-05-02 19:26:17,522","32","40",54,4,0,0,True,LinearRegression,45.95,32,32,200,1,32,0
"2017-05-02 19:27:08,969","32","40",54,4,0,0,True,LinearRegression,39.60,32,32,200,1,32,0
"2017-05-02 19:28:05,374","32","40",54,4,0,0,True,LinearRegression,44.64,32,32,200,1,32,0
"2017-05-02 19:29:03,764","32","40",54,4,0,0,True,LinearRegression,46.68,32,32,200,0,31,1
"2017-05-02 19:29:50,619","32","40",54,4,0,0,True,LinearRegression,36.46,32,32,200,1,32,0
"2017-05-02 19:30:37,462","32","40",54,4,0,0,True,LinearRegression,36.66,32,32,200,0,31,1
"2017-05-02 19:31:24,490","32","40",54,4,0,0,True,LinearRegression,37.11,32,32,200,1,32,0
"2017-05-02 19:32:11,554","32","40",54,4,0,0,True,LinearRegression,36.99,32,32,200,1,32,0
"2017-05-02 19:32:58,931","32","40",54,4,0,0,True,LinearRegression,37.06,32,32,200,1,32,0
"2017-05-02 19:33:46,146","32","40",54,4,0,0,True,LinearRegression,37.11,32,32,200,1,32,0
"2017-05-02 19:34:36,028","32","40",54,4,0,0,True,LinearRegression,39.63,32,32,200,1,32,0
"2017-05-02 19:35:23,106","32","40",54,4,0,0,True,LinearRegression,36.88,32,32,200,0,31,1
"2017-05-02 19:36:12,347","32","40",54,4,0,0,True,LinearRegression,39.29,32,32,200,1,32,0
