"2017-05-04 10:30:17,398",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif
"2017-05-04 10:33:53,770","20,20","50,50",90,12,12,12,True,LinearRegression,4,16.17,103,1480,623,370,103
"2017-05-04 10:37:27,676","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.00,105,1480,616,370,105
"2017-05-04 10:41:13,349","20,20","50,50",90,12,12,12,True,LinearRegression,4,19.61,99,1480,600,370,99
"2017-05-04 10:44:53,131","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.30,105,1480,649,370,105
"2017-05-04 10:48:39,142","20,20","50,50",90,12,12,12,True,LinearRegression,4,16.86,105,1480,605,370,105
"2017-05-04 10:52:20,822","20,20","50,50",90,12,12,12,True,LinearRegression,4,17.04,96,1480,598,370,96
"2017-05-04 10:56:00,944","20,20","50,50",90,12,12,12,True,LinearRegression,4,16.43,104,1480,608,370,104
"2017-05-04 10:59:40,166","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.53,115,1480,626,370,115
"2017-05-04 11:03:18,790","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.13,103,1480,633,370,103
"2017-05-04 11:06:57,648","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.95,111,1480,590,370,111
"2017-05-04 11:10:42,326","20,20","50,50",90,12,12,12,True,LinearRegression,4,19.86,93,1480,568,370,93
"2017-05-04 11:14:19,309","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.84,91,1480,593,370,91
"2017-05-04 11:17:55,588","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.78,108,1480,576,370,108
"2017-05-04 11:21:33,470","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.62,93,1480,589,370,93
"2017-05-04 11:25:10,461","20,20","50,50",90,12,12,12,True,LinearRegression,4,13.94,96,1480,612,370,96
"2017-05-04 11:28:49,903","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.68,99,1480,629,370,99
"2017-05-04 11:32:26,298","20,20","50,50",90,12,12,12,True,LinearRegression,4,13.53,102,1480,627,370,102
"2017-05-04 11:36:02,540","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.40,112,1480,588,370,112
"2017-05-04 11:39:44,802","20,20","50,50",90,12,12,12,True,LinearRegression,4,18.56,112,1480,617,370,112
"2017-05-04 11:43:27,352","20,20","50,50",90,12,12,12,True,LinearRegression,4,17.18,102,1480,593,370,102
"2017-05-04 11:47:04,237","20,20","50,50",90,12,12,12,True,LinearRegression,4,15.94,100,1480,590,370,100
"2017-05-04 11:50:42,862","20,20","50,50",90,12,12,12,True,LinearRegression,4,14.96,99,1480,585,370,99
"2017-05-04 11:54:25,457","20,20","50,50",90,12,12,12,True,LinearRegression,4,19.68,106,1480,593,370,106
"2017-05-04 11:58:10,540","20,20","50,50",90,12,12,12,True,LinearRegression,4,20.44,100,1480,581,370,100
"2017-05-04 12:01:50,998","20,20","50,50",90,12,12,12,True,LinearRegression,4,19.61,98,1480,621,370,98
