"2017-04-27 23:44:37,542",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 00:23:47,197","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.11,119,1480,1010,1480,968,370,119
"2017-04-28 00:25:41,410","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.27,119,1480,980,1480,913,370,119
"2017-04-28 00:27:35,848","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.38,113,1480,989,1480,909,370,113
"2017-04-28 00:29:31,664","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.18,119,1480,968,1480,904,370,119
"2017-04-28 00:31:27,102","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.25,114,1480,973,1480,900,370,114
"2017-04-27 23:47:59,558","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.43,131,1480,1003,1480,904,370,131
"2017-04-27 23:49:52,476","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,10.62,108,1480,1013,1480,937,370,108
"2017-04-27 23:51:48,415","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,11.94,119,1480,996,1480,941,370,119
"2017-04-27 23:53:40,871","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,10.51,136,1480,989,1480,954,370,136
"2017-04-27 23:55:32,884","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.60,121,1480,1012,1480,951,370,121
"2017-04-27 23:57:24,437","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.06,118,1480,1025,1480,947,370,118
"2017-04-27 23:59:16,238","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.20,109,1480,1003,1480,915,370,109
"2017-04-28 00:01:08,936","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.34,128,1480,1023,1480,922,370,128
"2017-04-28 00:03:01,908","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.34,114,1480,973,1480,899,370,114
"2017-04-28 00:04:53,903","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.45,107,1480,1030,1480,914,370,107
"2017-04-28 00:06:45,754","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.21,110,1480,1006,1480,944,370,110
"2017-04-28 00:08:38,478","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.31,114,1480,1002,1480,928,370,114
"2017-04-28 00:10:31,027","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.31,118,1480,1017,1480,916,370,118
"2017-04-28 00:12:22,410","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.82,113,1480,1021,1480,895,370,113
"2017-04-28 00:14:14,351","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.30,103,1480,995,1480,928,370,103
"2017-04-28 00:16:06,214","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.43,107,1480,1018,1480,954,370,107
"2017-04-28 00:17:58,797","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.58,115,1480,1001,1480,956,370,115
"2017-04-28 00:19:51,374","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.42,119,1480,1011,1480,905,370,119
