"2017-05-03 06:04:14,010",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-03 06:29:56,022","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,967.04,500,100,50,0,0,1369,0,1460,0,1361
"2017-05-03 06:55:40,875","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,971.82,500,100,50,0,0,1352,0,1425,0,1440
"2017-05-03 07:21:28,384","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,969.77,500,100,50,0,0,1363,0,1515,0,1603
"2017-05-03 07:47:04,585","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,965.26,500,100,50,0,0,1375,0,1500,0,1413
"2017-05-03 08:12:43,064","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,964.74,500,100,50,0,0,1401,0,1565,0,1547
"2017-05-03 08:38:38,802","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,969.96,500,100,50,0,0,1356,0,1519,0,1467
"2017-05-03 09:04:11,843","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,966.97,500,100,50,0,0,1399,0,1538,0,1451
"2017-05-03 09:29:49,890","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,965.24,500,100,50,0,0,1381,0,1513,0,1399
"2017-05-03 09:58:00,854","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1091.31,500,100,50,0,0,1364,0,1612,0,1434
"2017-05-03 10:28:27,031","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1207.73,500,100,50,0,0,1362,0,1530,0,1414
"2017-05-03 10:59:10,229","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1215.17,500,100,50,0,0,1366,0,1523,0,1492
"2017-05-03 11:24:57,249","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,969.65,500,100,50,0,0,1355,0,1525,0,1450
"2017-05-03 11:50:30,401","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,964.58,500,100,50,0,0,1393,0,1534,0,1472
"2017-05-03 12:16:04,501","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,962.97,500,100,50,0,0,1390,0,1542,0,1506
"2017-05-03 12:41:29,524","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,963.41,500,100,50,0,0,1402,0,1576,0,1550
"2017-05-03 13:07:49,562","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1010.78,500,100,50,0,0,1374,0,1453,0,1421
"2017-05-03 13:38:03,482","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1176.63,500,100,50,0,0,1344,0,1448,0,1410
"2017-05-03 14:04:26,870","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,996.83,500,100,50,0,0,1362,0,1624,0,1464
"2017-05-03 14:33:19,762","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1086.76,500,100,50,0,0,1370,0,1527,0,1443
"2017-05-03 15:01:12,860","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1039.76,500,100,50,0,0,1390,0,1459,0,1435
"2017-05-03 15:27:17,975","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1002.27,500,100,50,0,0,1354,0,1460,0,1508
"2017-05-03 15:54:15,980","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1020.34,500,100,50,0,0,1386,0,1692,0,1406
"2017-05-03 16:22:08,742","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1031.36,500,100,50,0,0,1370,0,1466,0,1443
"2017-05-03 16:51:40,146","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1163.95,500,100,50,0,0,1379,0,1502,0,1421
"2017-05-03 17:17:31,891","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,975.08,500,100,50,0,0,1377,0,1480,0,1436
