"2017-05-02 18:49:47,200",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 18:50:49,305","32","40",62,4,0,0,True,LinearRegression,50.27,32,32,200,0,31,1
"2017-05-02 18:51:50,296","32","40",62,4,0,0,True,LinearRegression,48.88,32,32,200,0,31,1
"2017-05-02 18:52:42,613","32","40",62,4,0,0,True,LinearRegression,39.85,32,32,200,1,32,0
"2017-05-02 18:53:35,328","32","40",62,4,0,0,True,LinearRegression,40.42,32,32,200,0,31,1
"2017-05-02 18:54:26,679","32","40",62,4,0,0,True,LinearRegression,39.40,32,32,200,1,32,0
"2017-05-02 18:55:18,367","32","40",62,4,0,0,True,LinearRegression,39.54,32,32,200,1,32,0
"2017-05-02 18:56:09,917","32","40",62,4,0,0,True,LinearRegression,39.39,32,32,200,1,32,0
"2017-05-02 18:57:05,417","32","40",62,4,0,0,True,LinearRegression,43.23,32,32,200,1,32,0
"2017-05-02 18:57:57,089","32","40",62,4,0,0,True,LinearRegression,39.40,32,32,200,1,32,0
"2017-05-02 18:58:56,776","32","40",62,4,0,0,True,LinearRegression,47.41,32,32,200,1,32,0
"2017-05-02 18:59:59,005","32","40",62,4,0,0,True,LinearRegression,49.75,32,32,200,1,32,0
"2017-05-02 19:01:00,613","32","40",62,4,0,0,True,LinearRegression,48.68,32,32,200,1,32,0
"2017-05-02 19:02:03,638","32","40",62,4,0,0,True,LinearRegression,50.62,32,32,200,0,31,1
"2017-05-02 19:03:06,293","32","40",62,4,0,0,True,LinearRegression,50.04,32,32,200,1,32,0
"2017-05-02 19:04:05,507","32","40",62,4,0,0,True,LinearRegression,47.15,32,32,200,1,32,0
"2017-05-02 19:05:07,846","32","40",62,4,0,0,True,LinearRegression,50.54,32,32,200,1,32,0
"2017-05-02 19:06:11,725","32","40",62,4,0,0,True,LinearRegression,51.76,32,32,200,1,32,0
"2017-05-02 19:07:05,622","32","40",62,4,0,0,True,LinearRegression,41.90,32,32,200,1,32,0
"2017-05-02 19:08:03,695","32","40",62,4,0,0,True,LinearRegression,46.39,32,32,200,1,32,0
"2017-05-02 19:09:00,374","32","40",62,4,0,0,True,LinearRegression,44.63,32,32,200,1,32,0
"2017-05-02 19:09:53,260","32","40",62,4,0,0,True,LinearRegression,41.27,32,32,200,1,32,0
"2017-05-02 19:10:45,477","32","40",62,4,0,0,True,LinearRegression,40.12,32,32,200,1,32,0
"2017-05-02 19:11:37,521","32","40",62,4,0,0,True,LinearRegression,39.92,32,32,200,0,31,1
"2017-05-02 19:12:29,324","32","40",62,4,0,0,True,LinearRegression,39.80,32,32,200,1,32,0
"2017-05-02 19:13:23,617","32","40",62,4,0,0,True,LinearRegression,42.47,32,32,200,1,32,0
