"2017-05-02 19:12:41,682",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:13:42,205","32","40",54,4,0,0,True,LinearRegression,47.74,32,32,200,1,32,0
"2017-05-02 19:14:38,799","32","40",54,4,0,0,True,LinearRegression,44.38,32,32,200,0,31,1
"2017-05-02 19:15:34,353","32","40",54,4,0,0,True,LinearRegression,43.02,32,32,200,1,32,0
"2017-05-02 19:16:34,051","32","40",54,4,0,0,True,LinearRegression,47.68,32,32,200,1,32,0
"2017-05-02 19:17:33,175","32","40",54,4,0,0,True,LinearRegression,47.25,32,32,200,0,31,1
"2017-05-02 19:18:25,323","32","40",54,4,0,0,True,LinearRegression,39.78,32,32,200,1,32,0
"2017-05-02 19:19:23,359","32","40",54,4,0,0,True,LinearRegression,45.66,32,32,200,1,32,0
"2017-05-02 19:20:27,253","32","40",54,4,0,0,True,LinearRegression,51.68,32,32,200,1,32,0
"2017-05-02 19:21:20,476","32","40",54,4,0,0,True,LinearRegression,40.72,32,32,200,1,32,0
"2017-05-02 19:22:12,991","32","40",54,4,0,0,True,LinearRegression,40.04,32,32,200,1,32,0
"2017-05-02 19:23:05,279","32","40",54,4,0,0,True,LinearRegression,39.99,32,32,200,1,32,0
"2017-05-02 19:24:07,163","32","40",54,4,0,0,True,LinearRegression,49.37,32,32,200,1,32,0
"2017-05-02 19:25:11,867","32","40",54,4,0,0,True,LinearRegression,52.77,32,32,200,1,32,0
"2017-05-02 19:26:15,619","32","40",54,4,0,0,True,LinearRegression,51.89,32,32,200,1,32,0
"2017-05-02 19:27:07,513","32","40",54,4,0,0,True,LinearRegression,39.95,32,32,200,0,31,1
"2017-05-02 19:28:09,017","32","40",54,4,0,0,True,LinearRegression,49.86,32,32,200,1,32,0
"2017-05-02 19:28:59,568","32","40",54,4,0,0,True,LinearRegression,40.36,32,32,200,1,32,0
"2017-05-02 19:29:47,039","32","40",54,4,0,0,True,LinearRegression,37.19,32,32,200,1,32,0
"2017-05-02 19:30:34,086","32","40",54,4,0,0,True,LinearRegression,37.21,32,32,200,0,31,1
"2017-05-02 19:31:21,640","32","40",54,4,0,0,True,LinearRegression,37.52,32,32,200,1,32,0
"2017-05-02 19:32:08,399","32","40",54,4,0,0,True,LinearRegression,37.02,32,32,200,1,32,0
"2017-05-02 19:32:55,665","32","40",54,4,0,0,True,LinearRegression,37.42,32,32,200,1,32,0
"2017-05-02 19:33:43,454","32","40",54,4,0,0,True,LinearRegression,37.80,32,32,200,1,32,0
"2017-05-02 19:34:37,605","32","40",54,4,0,0,True,LinearRegression,43.84,32,32,200,1,32,0
"2017-05-02 19:35:24,395","32","40",54,4,0,0,True,LinearRegression,36.58,32,32,200,1,32,0
