"2017-05-04 01:52:47,307",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-04 01:55:51,200","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,21.65,104,1480,701,1480,660,370,104
"2017-05-04 01:58:52,170","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,20.15,108,1480,704,1480,642,370,108
"2017-05-04 02:01:58,025","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,21.41,110,1480,681,1480,672,370,110
"2017-05-04 02:05:03,989","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,22.84,111,1480,706,1480,683,370,111
"2017-05-04 02:08:09,125","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,22.53,98,1480,701,1480,670,370,98
"2017-05-04 02:11:13,775","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,20.52,100,1480,735,1480,630,370,100
"2017-05-04 02:14:17,612","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,20.12,109,1480,708,1480,674,370,109
"2017-05-04 02:17:18,524","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,18.72,101,1480,694,1480,629,370,101
"2017-05-04 02:20:22,343","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,19.81,119,1480,691,1480,656,370,119
"2017-05-04 02:23:28,941","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,23.80,109,1480,684,1480,647,370,109
"2017-05-04 02:26:32,468","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,21.71,108,1480,711,1480,666,370,108
"2017-05-04 02:29:36,500","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,20.86,104,1480,703,1480,649,370,104
"2017-05-04 02:32:37,764","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,18.31,101,1480,715,1480,628,370,101
"2017-05-04 02:35:40,983","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,19.27,101,1480,712,1480,676,370,101
"2017-05-04 02:38:45,947","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,21.30,108,1480,713,1480,662,370,108
"2017-05-04 02:41:51,473","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,21.97,102,1480,708,1480,668,370,102
"2017-05-04 02:44:56,961","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,22.01,95,1480,687,1480,638,370,95
"2017-05-04 02:48:03,413","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,21.58,107,1480,688,1480,658,370,107
"2017-05-04 02:51:07,681","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,21.78,94,1480,687,1480,621,370,94
"2017-05-04 02:54:10,473","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,19.70,107,1480,727,1480,663,370,107
"2017-05-04 02:57:15,657","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,20.80,93,1480,732,1480,644,370,93
"2017-05-04 03:00:20,580","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,22.08,121,1480,739,1480,617,370,121
"2017-05-04 03:03:29,316","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,22.13,113,1480,726,1480,655,370,113
"2017-05-04 03:06:33,661","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,20.71,89,1480,691,1480,662,370,89
"2017-05-04 03:09:35,660","20,20,20","30,30,30",90,12,12,12,True,LinearRegression,4,19.92,96,1480,727,1480,623,370,96
