"2017-05-04 05:59:51,540",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif
"2017-05-04 06:01:42,808","20","50",90,12,12,12,True,LinearRegression,4,6.06,58,370,58
"2017-05-04 06:03:35,309","20","50",90,12,12,12,True,LinearRegression,4,6.23,57,370,57
"2017-05-04 06:05:27,330","20","50",90,12,12,12,True,LinearRegression,4,5.55,62,370,62
"2017-05-04 06:07:18,107","20","50",90,12,12,12,True,LinearRegression,4,5.76,56,370,56
"2017-05-04 06:09:09,581","20","50",90,12,12,12,True,LinearRegression,4,5.07,50,370,50
"2017-05-04 06:10:59,066","20","50",90,12,12,12,True,LinearRegression,4,5.06,53,370,53
"2017-05-04 06:12:51,069","20","50",90,12,12,12,True,LinearRegression,4,5.99,56,370,56
"2017-05-04 06:14:41,214","20","50",90,12,12,12,True,LinearRegression,4,5.61,50,370,50
"2017-05-04 06:16:32,035","20","50",90,12,12,12,True,LinearRegression,4,6.62,53,370,53
"2017-05-04 06:18:21,906","20","50",90,12,12,12,True,LinearRegression,4,5.05,60,370,60
"2017-05-04 06:20:11,739","20","50",90,12,12,12,True,LinearRegression,4,5.31,50,370,50
"2017-05-04 06:22:01,947","20","50",90,12,12,12,True,LinearRegression,4,4.86,53,370,53
"2017-05-04 06:23:52,497","20","50",90,12,12,12,True,LinearRegression,4,4.92,50,370,50
"2017-05-04 06:25:45,124","20","50",90,12,12,12,True,LinearRegression,4,6.65,53,370,53
"2017-05-04 06:27:35,715","20","50",90,12,12,12,True,LinearRegression,4,4.86,55,370,55
"2017-05-04 06:29:28,042","20","50",90,12,12,12,True,LinearRegression,4,6.51,53,370,53
"2017-05-04 06:31:19,867","20","50",90,12,12,12,True,LinearRegression,4,5.69,59,370,59
"2017-05-04 06:33:12,866","20","50",90,12,12,12,True,LinearRegression,4,6.81,58,370,58
"2017-05-04 06:35:04,671","20","50",90,12,12,12,True,LinearRegression,4,6.13,70,370,70
"2017-05-04 06:36:55,865","20","50",90,12,12,12,True,LinearRegression,4,6.42,54,370,54
"2017-05-04 06:38:46,065","20","50",90,12,12,12,True,LinearRegression,4,5.67,54,370,54
"2017-05-04 06:40:37,087","20","50",90,12,12,12,True,LinearRegression,4,5.73,54,370,54
"2017-05-04 06:42:29,318","20","50",90,12,12,12,True,LinearRegression,4,6.60,53,370,53
"2017-05-04 06:44:20,343","20","50",90,12,12,12,True,LinearRegression,4,5.71,58,370,58
"2017-05-04 06:46:13,214","20","50",90,12,12,12,True,LinearRegression,4,6.50,61,370,61
