"2017-05-02 10:35:10,143",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 10:38:40,297","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,46.08,500,100,50,0,0,1002,0,1002,0,1003
"2017-05-02 10:42:12,157","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.68,500,100,50,0,0,1002,0,1000,0,1004
"2017-05-02 10:45:41,060","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.89,500,100,50,0,0,1001,0,1006,0,1000
"2017-05-02 10:49:10,451","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,46.35,500,100,50,0,0,1000,0,1005,0,1003
"2017-05-02 10:52:41,196","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,46.06,500,100,50,0,0,1001,0,1004,0,1004
"2017-05-02 10:56:13,260","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,46.30,500,100,50,0,0,1000,0,1001,0,1003
"2017-05-02 10:59:42,928","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,46.24,500,100,50,0,0,1002,0,1004,0,1001
"2017-05-02 11:03:14,557","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.96,500,100,50,0,0,1001,0,1001,0,1003
"2017-05-02 11:06:45,915","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.82,500,100,50,0,0,1000,0,1002,0,1000
"2017-05-02 11:10:12,072","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.81,500,100,50,0,0,1000,0,1001,0,1005
"2017-05-02 11:13:40,774","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.52,500,100,50,0,0,1001,0,1003,0,1003
"2017-05-02 11:17:07,083","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.11,500,100,50,0,0,1000,0,1002,0,1001
"2017-05-02 11:20:35,174","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.44,500,100,50,0,0,1001,0,1003,0,1002
"2017-05-02 11:24:03,293","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.19,500,100,50,0,0,1002,0,1004,0,1003
"2017-05-02 11:27:31,114","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.10,500,100,50,0,0,1001,0,1003,0,1001
"2017-05-02 11:30:57,034","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.13,500,100,50,0,0,1003,0,1007,0,1000
"2017-05-02 11:34:26,870","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.86,500,100,50,0,0,1004,0,1000,0,1002
"2017-05-02 11:37:54,688","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.12,500,100,50,0,0,1001,0,1001,0,1003
"2017-05-02 11:41:22,604","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.95,500,100,50,0,0,1001,0,1001,0,1004
"2017-05-02 11:44:49,361","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.00,500,100,50,0,0,1001,0,1002,0,1001
"2017-05-02 11:48:17,648","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.86,500,100,50,0,0,1001,0,1001,0,1002
"2017-05-02 11:51:44,375","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.93,500,100,50,0,0,1003,0,1001,0,1004
"2017-05-02 11:55:09,687","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.91,500,100,50,0,0,1000,0,1006,0,1004
"2017-05-02 11:58:34,919","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,44.95,500,100,50,0,0,1001,0,1000,0,1001
"2017-05-02 12:02:01,131","16,16,16","20,20,20",41,7,7,7,True,LinearRegression,45.43,500,100,50,0,0,1001,0,1005,0,1004
