"2017-05-03 06:03:23,021",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-03 06:29:10,003","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,970.66,500,100,50,0,0,1371,0,1515,0,1488
"2017-05-03 06:55:19,902","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,997.60,500,100,50,0,0,1364,0,1464,0,1507
"2017-05-03 07:20:59,751","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,968.60,500,100,50,0,0,1399,0,1547,0,1455
"2017-05-03 07:46:38,369","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,962.64,500,100,50,0,0,1346,0,1484,0,1476
"2017-05-03 08:12:05,927","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,962.06,500,100,50,0,0,1373,0,1510,0,1478
"2017-05-03 08:37:37,118","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,962.98,500,100,50,0,0,1364,0,1461,0,1492
"2017-05-03 09:03:17,978","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,962.92,500,100,50,0,0,1380,0,1520,0,1456
"2017-05-03 09:28:50,271","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,960.06,500,100,50,0,0,1355,0,1549,0,1464
"2017-05-03 09:59:30,030","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1182.45,500,100,50,0,0,1360,0,1459,0,1445
"2017-05-03 10:29:38,261","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1179.39,500,100,50,0,0,1407,0,1504,0,1473
"2017-05-03 11:00:23,588","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1236.14,500,100,50,0,0,1352,0,1552,0,1497
"2017-05-03 11:25:59,419","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,965.50,500,100,50,0,0,1391,0,1567,0,1447
"2017-05-03 11:51:29,789","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,963.87,500,100,50,0,0,1349,0,1546,0,1445
"2017-05-03 12:16:55,318","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,964.59,500,100,50,0,0,1383,0,1458,0,1386
"2017-05-03 12:42:26,642","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,961.54,500,100,50,0,0,1382,0,1494,0,1570
"2017-05-03 13:08:00,240","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,975.74,500,100,50,0,0,1373,0,1426,0,1429
"2017-05-03 13:39:45,775","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1275.94,500,100,50,0,0,1353,0,1495,0,1515
"2017-05-03 14:05:47,511","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,990.03,500,100,50,0,0,1366,0,1436,0,1548
"2017-05-03 14:36:00,512","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1143.80,500,100,50,0,0,1353,0,1425,0,1505
"2017-05-03 15:05:14,875","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1122.62,500,100,50,0,0,1358,0,1545,0,1448
"2017-05-03 15:30:53,727","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,964.67,500,100,50,0,0,1367,0,1548,0,1428
"2017-05-03 15:58:40,588","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1026.55,500,100,50,0,0,1355,0,1440,0,1603
"2017-05-03 16:30:00,538","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1198.48,500,100,50,0,0,1347,0,1450,0,1533
"2017-05-03 16:58:55,666","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1114.43,500,100,50,0,0,1367,0,1457,0,1449
"2017-05-03 17:25:03,026","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,980.53,500,100,50,0,0,1320,0,1598,0,1430
