"2016-11-19 11:18:22,239",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-19 11:24:25,265",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,17,15,17,15
"2016-11-19 11:24:32,822",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,15,17
"2016-11-19 11:24:40,115",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,20,19,13
"2016-11-19 11:24:46,628",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,5,55,1,53
"2016-11-19 11:24:53,615",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,15,17
"2016-11-19 11:25:00,360",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,20,12
"2016-11-19 11:25:07,210",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,7,37,15,18
"2016-11-19 11:25:14,194",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,19,22,10
"2016-11-19 11:25:20,769",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,20,12
"2016-11-19 11:25:27,587",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,12,22,15,18
"2016-11-19 11:25:33,802",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,18,14
"2016-11-19 11:25:41,657",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,17,15
"2016-11-19 11:25:48,865",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,17,15
"2016-11-19 11:25:56,561",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,17,15
"2016-11-19 11:26:05,352",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:26:12,310",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,8,30,11,26
"2016-11-19 11:26:19,789",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,21,17,18
"2016-11-19 11:26:27,539",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:26:34,868",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,14,18,18,14
"2016-11-19 11:26:42,668",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-19 11:26:49,956",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,17,20,12
"2016-11-19 11:26:56,468",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,15,18,15,18
"2016-11-19 11:27:04,479",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,13,19,15,17
"2016-11-19 11:27:12,008",4,4,90,4,4,40,True,LinearRegression,32,32,200,0,9,28,17,18
