"2017-04-28 16:39:40,312",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 16:41:54,543","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,13.80,101,1480,823,1480,716,370,101
"2017-04-28 16:44:08,799","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,14.88,91,1480,807,1480,742,370,91
"2017-04-28 16:46:21,202","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,13.14,110,1480,813,1480,742,370,110
"2017-04-28 16:48:32,082","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,13.25,95,1480,808,1480,697,370,95
"2017-04-28 16:50:41,743","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,12.05,93,1480,802,1480,714,370,93
"2017-04-28 16:52:50,036","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,12.78,93,1480,788,1480,735,370,93
"2017-04-28 16:55:00,796","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,14.26,111,1480,789,1480,725,370,111
"2017-04-28 16:57:07,139","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,12.60,94,1480,784,1480,725,370,94
"2017-04-28 16:59:16,323","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,14.05,103,1480,787,1480,727,370,103
"2017-04-28 17:01:23,294","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,12.60,115,1480,761,1480,724,370,115
"2017-04-28 17:03:31,873","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,14.20,103,1480,768,1480,709,370,103
"2017-04-28 17:05:39,361","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,13.49,91,1480,793,1480,682,370,91
"2017-04-28 17:07:46,235","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,13.81,96,1480,773,1480,710,370,96
"2017-04-28 17:09:53,056","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,13.57,114,1480,810,1480,755,370,114
"2017-04-28 17:12:00,823","20,20,20","20,20,20",102,12,12,12,True,LinearRegression,4,13.43,92,1480,809,1480,739,370,92
