"2017-05-03 06:10:26,985",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-03 06:37:01,409","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1051.40,500,100,50,0,0,1389,0,1475,0,1439
"2017-05-03 07:03:39,360","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1051.84,500,100,50,0,0,1382,0,1427,0,1481
"2017-05-03 07:30:17,879","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1051.40,500,100,50,0,0,1344,0,1522,0,1503
"2017-05-03 07:57:09,632","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1053.12,500,100,50,0,0,1401,0,1544,0,1398
"2017-05-03 08:23:34,816","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1043.85,500,100,50,0,0,1411,0,1435,0,1456
"2017-05-03 08:50:04,666","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1048.11,500,100,50,0,0,1387,0,1508,0,1408
"2017-05-03 09:16:32,090","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1048.13,500,100,50,0,0,1352,0,1571,0,1445
"2017-05-03 09:45:11,270","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1115.03,500,100,50,0,0,1353,0,1480,0,1404
"2017-05-03 10:16:21,228","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1187.94,500,100,50,0,0,1374,0,1500,0,1445
"2017-05-03 10:47:05,583","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1155.45,500,100,50,0,0,1329,0,1499,0,1411
"2017-05-03 11:13:49,503","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1032.95,500,100,50,0,0,1379,0,1575,0,1420
"2017-05-03 11:40:06,340","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1043.98,500,100,50,0,0,1355,0,1545,0,1533
"2017-05-03 12:06:19,960","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1043.81,500,100,50,0,0,1367,0,1452,0,1454
"2017-05-03 12:32:40,883","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1043.81,500,100,50,0,0,1383,0,1478,0,1488
"2017-05-03 12:58:50,925","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1036.72,500,100,50,0,0,1408,0,1502,0,1399
"2017-05-03 13:28:11,629","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1105.84,500,100,50,0,0,1375,0,1459,0,1513
"2017-05-03 13:55:10,406","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1054.31,500,100,50,0,0,1430,0,1494,0,1443
"2017-05-03 14:25:27,015","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1156.89,500,100,50,0,0,1359,0,1543,0,1489
"2017-05-03 14:56:49,658","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1198.35,500,100,50,0,0,1371,0,1471,0,1539
"2017-05-03 15:28:09,462","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1196.31,500,100,50,0,0,1387,0,1560,0,1443
"2017-05-03 15:55:40,732","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1043.70,500,100,50,0,0,1372,0,1474,0,1467
"2017-05-03 16:26:55,524","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1193.88,500,100,50,0,0,1346,0,1457,0,1395
"2017-05-03 16:55:09,349","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1099.60,500,100,50,0,0,1375,0,1579,0,1519
"2017-05-03 17:21:24,676","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1045.09,500,100,50,0,0,1391,0,1539,0,1450
"2017-05-03 17:47:45,759","30,30,30","50,50,50",54,7,7,7,True,LinearRegression,1046.90,500,100,50,0,0,1364,0,1570,0,1591
