"2017-05-01 14:14:03,590",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),Fully correct seq.,Mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-01 14:14:09,647","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.18,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:15,614","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.14,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:21,707","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.16,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:27,715","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.16,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:33,816","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.17,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:39,861","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.15,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:45,879","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.15,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:51,941","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.18,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:14:58,120","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.18,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:04,236","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.16,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:10,327","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.14,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:16,323","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.15,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:22,378","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.16,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:28,380","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.14,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:34,575","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.17,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:40,650","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.17,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:46,850","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.18,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:52,993","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.16,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:15:59,107","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.18,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:16:05,108","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.16,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:16:11,399","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.18,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:16:17,437","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.15,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:16:23,544","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.17,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:16:29,618","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.14,500,100,50,0,0,1000,0,1000,0,1000
"2017-05-01 14:16:35,709","1,1,1","0,0,0",2,7,7,7,True,LinearRegression,0.18,500,100,50,0,0,1000,0,1000,0,1000
