"2017-05-02 18:49:47,059",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 18:50:52,905","32","40",62,4,0,0,True,LinearRegression,54.26,32,32,200,1,32,0
"2017-05-02 18:51:56,112","32","40",62,4,0,0,True,LinearRegression,51.64,32,32,200,1,32,0
"2017-05-02 18:53:00,584","32","40",62,4,0,0,True,LinearRegression,52.10,32,32,200,1,32,0
"2017-05-02 18:54:02,175","32","40",62,4,0,0,True,LinearRegression,49.26,32,32,200,0,31,1
"2017-05-02 18:55:01,910","32","40",62,4,0,0,True,LinearRegression,47.78,32,32,200,1,32,0
"2017-05-02 18:56:03,185","32","40",62,4,0,0,True,LinearRegression,49.08,32,32,200,0,31,1
"2017-05-02 18:57:05,487","32","40",62,4,0,0,True,LinearRegression,49.73,32,32,200,1,32,0
"2017-05-02 18:58:06,469","32","40",62,4,0,0,True,LinearRegression,48.83,32,32,200,1,32,0
"2017-05-02 18:59:09,103","32","40",62,4,0,0,True,LinearRegression,50.39,32,32,200,1,32,0
"2017-05-02 19:00:16,364","32","40",62,4,0,0,True,LinearRegression,55.09,32,32,200,1,32,0
"2017-05-02 19:01:12,364","32","40",62,4,0,0,True,LinearRegression,43.80,32,32,200,1,32,0
"2017-05-02 19:02:04,163","32","40",62,4,0,0,True,LinearRegression,39.38,32,32,200,1,32,0
"2017-05-02 19:02:58,386","32","40",62,4,0,0,True,LinearRegression,42.11,32,32,200,1,32,0
"2017-05-02 19:03:54,457","32","40",62,4,0,0,True,LinearRegression,44.05,32,32,200,1,32,0
"2017-05-02 19:04:49,803","32","40",62,4,0,0,True,LinearRegression,42.97,32,32,200,1,32,0
"2017-05-02 19:05:47,495","32","40",62,4,0,0,True,LinearRegression,45.59,32,32,200,1,32,0
"2017-05-02 19:06:43,376","32","40",62,4,0,0,True,LinearRegression,43.88,32,32,200,1,32,0
"2017-05-02 19:07:35,116","32","40",62,4,0,0,True,LinearRegression,39.43,32,32,200,1,32,0
"2017-05-02 19:08:26,829","32","40",62,4,0,0,True,LinearRegression,39.83,32,32,200,0,31,1
"2017-05-02 19:09:18,349","32","40",62,4,0,0,True,LinearRegression,39.64,32,32,200,1,32,0
"2017-05-02 19:10:09,740","32","40",62,4,0,0,True,LinearRegression,39.43,32,32,200,1,32,0
"2017-05-02 19:11:02,724","32","40",62,4,0,0,True,LinearRegression,40.96,32,32,200,1,32,0
"2017-05-02 19:11:54,978","32","40",62,4,0,0,True,LinearRegression,40.29,32,32,200,1,32,0
"2017-05-02 19:12:46,579","32","40",62,4,0,0,True,LinearRegression,39.54,32,32,200,0,31,1
"2017-05-02 19:13:37,603","32","40",62,4,0,0,True,LinearRegression,39.22,32,32,200,0,31,1
