"2017-04-28 19:22:48,155",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 19:25:00,758","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.74,136,1480,999,1480,978,370,136
"2017-04-28 19:27:13,568","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,15.00,140,1480,1007,1480,971,370,140
"2017-04-28 19:29:25,328","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.86,135,1480,1017,1480,981,370,135
"2017-04-28 19:31:35,811","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.79,148,1480,1009,1480,982,370,148
"2017-04-28 19:33:46,330","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.49,134,1480,1040,1480,942,370,134
"2017-04-28 19:35:54,716","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.63,166,1480,1000,1480,950,370,166
"2017-04-28 19:38:10,452","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,15.06,113,1480,984,1480,923,370,113
"2017-04-28 19:40:25,539","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.86,150,1480,1022,1480,968,370,150
"2017-04-28 19:42:43,141","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,15.86,132,1480,1015,1480,952,370,132
"2017-04-28 19:44:53,355","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.21,140,1480,1021,1480,982,370,140
"2017-04-28 19:47:01,277","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.51,132,1480,992,1480,995,370,132
"2017-04-28 19:49:04,465","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,11.57,127,1480,1042,1480,1008,370,127
"2017-04-28 19:51:09,940","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.07,119,1480,1034,1480,964,370,119
"2017-04-28 19:53:14,955","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.39,147,1480,1009,1480,964,370,147
"2017-04-28 19:55:19,662","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.07,163,1480,1051,1480,977,370,163
"2017-04-28 19:57:26,955","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.85,123,1480,1018,1480,966,370,123
"2017-04-28 19:59:30,657","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,11.26,149,1480,987,1480,950,370,149
"2017-04-28 20:01:36,538","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.08,154,1480,1014,1480,937,370,154
"2017-04-28 20:03:40,176","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,11.96,121,1480,1021,1480,934,370,121
"2017-04-28 20:05:47,463","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.19,146,1480,1019,1480,965,370,146
"2017-04-28 20:07:57,624","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,11.94,129,1480,987,1480,959,370,129
"2017-04-28 20:10:07,542","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.48,133,1480,1004,1480,952,370,133
"2017-04-28 20:12:19,496","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.92,138,1480,1028,1480,973,370,138
"2017-04-28 20:14:28,988","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.42,133,1480,983,1480,958,370,133
"2017-04-28 20:16:39,204","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.12,125,1480,1026,1480,968,370,125
"2017-04-28 19:25:24,441","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,11.59,148,1480,1035,1480,987,370,148
"2017-04-28 19:27:32,819","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.39,160,1480,1018,1480,959,370,160
"2017-04-28 19:29:46,746","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.96,139,1480,1017,1480,972,370,139
"2017-04-28 19:32:01,170","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.58,146,1480,1017,1480,973,370,146
"2017-04-28 19:34:16,167","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.91,144,1480,1021,1480,931,370,144
"2017-04-28 19:36:31,553","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,15.47,151,1480,1026,1480,959,370,151
"2017-04-28 19:38:46,615","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,15.83,145,1480,1010,1480,962,370,145
"2017-04-28 19:40:56,397","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.78,156,1480,981,1480,949,370,156
"2017-04-28 19:43:06,730","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.78,126,1480,1024,1480,939,370,126
"2017-04-28 19:45:13,941","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.65,142,1480,1017,1480,958,370,142
"2017-04-28 19:47:20,923","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.69,118,1480,1006,1480,943,370,118
"2017-04-28 19:49:29,286","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.48,138,1480,1038,1480,981,370,138
"2017-04-28 19:51:35,813","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.94,127,1480,1000,1480,942,370,127
"2017-04-28 19:53:40,921","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.94,150,1480,992,1480,959,370,150
"2017-04-28 19:55:46,225","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.75,133,1480,998,1480,946,370,133
"2017-04-28 19:57:51,866","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.24,139,1480,1020,1480,937,370,139
"2017-04-28 19:59:58,337","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.84,162,1480,1005,1480,960,370,162
"2017-04-28 20:02:06,614","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.26,133,1480,1020,1480,980,370,133
"2017-04-28 20:04:13,274","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.49,141,1480,984,1480,981,370,141
"2017-04-28 20:06:23,703","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.76,140,1480,1002,1480,1007,370,140
"2017-04-28 20:08:40,915","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,15.98,150,1480,1016,1480,962,370,150
"2017-04-28 20:10:52,998","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.42,134,1480,1042,1480,951,370,134
"2017-04-28 20:13:06,553","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.17,180,1480,1007,1480,947,370,180
"2017-04-28 20:15:23,074","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.73,159,1480,1014,1480,954,370,159
"2017-04-28 20:17:39,559","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.83,137,1480,1033,1480,963,370,137
"2017-04-28 19:25:23,747","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.96,130,1480,1022,1480,926,370,130
"2017-04-28 19:27:37,684","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.14,155,1480,1015,1480,996,370,155
"2017-04-28 19:29:51,966","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.30,136,1480,1006,1480,966,370,136
"2017-04-28 19:32:06,988","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.97,131,1480,1023,1480,970,370,131
"2017-04-28 19:34:23,209","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.70,139,1480,1019,1480,939,370,139
"2017-04-28 19:36:35,772","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,11.70,160,1480,1021,1480,999,370,160
"2017-04-28 19:38:49,870","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.15,137,1480,1050,1480,978,370,137
"2017-04-28 19:41:03,838","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.88,169,1480,997,1480,992,370,169
"2017-04-28 19:43:17,668","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.70,157,1480,989,1480,943,370,157
"2017-04-28 19:45:23,272","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.40,131,1480,993,1480,946,370,131
"2017-04-28 19:47:30,218","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.21,127,1480,1023,1480,978,370,127
"2017-04-28 19:49:36,859","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.84,138,1480,1018,1480,961,370,138
"2017-04-28 19:51:42,219","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.93,149,1480,1001,1480,958,370,149
"2017-04-28 19:53:47,545","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.99,156,1480,1012,1480,975,370,156
"2017-04-28 19:55:52,687","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,11.94,166,1480,1018,1480,979,370,166
"2017-04-28 19:57:58,496","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.19,137,1480,1006,1480,1000,370,137
"2017-04-28 20:00:03,396","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,12.09,140,1480,1011,1480,968,370,140
"2017-04-28 20:02:09,890","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.26,133,1480,1010,1480,952,370,133
"2017-04-28 20:04:17,634","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.56,141,1480,1034,1480,983,370,141
"2017-04-28 20:06:27,044","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,13.28,148,1480,1020,1480,968,370,148
"2017-04-28 20:08:40,498","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.72,151,1480,1023,1480,986,370,151
"2017-04-28 20:10:51,825","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,14.19,135,1480,1013,1480,967,370,135
"2017-04-28 20:13:04,112","20,20,20","20,20,20",62,12,12,12,True,LinearRegression,4,15.06,154,1480,1009,1480,943,370,154
