"2017-05-02 19:37:46,304",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 19:38:37,770","32","40",102,4,0,0,True,LinearRegression,40.25,32,32,200,1,32,0
"2017-05-02 19:39:28,202","32","40",102,4,0,0,True,LinearRegression,38.37,32,32,200,1,32,0
"2017-05-02 19:40:15,253","32","40",102,4,0,0,True,LinearRegression,36.32,32,32,200,1,32,0
"2017-05-02 19:41:02,369","32","40",102,4,0,0,True,LinearRegression,36.41,32,32,200,1,32,0
"2017-05-02 19:41:49,443","32","40",102,4,0,0,True,LinearRegression,36.61,32,32,200,1,32,0
"2017-05-02 19:42:36,648","32","40",102,4,0,0,True,LinearRegression,36.93,32,32,200,1,32,0
"2017-05-02 19:43:23,979","32","40",102,4,0,0,True,LinearRegression,36.73,32,32,200,1,32,0
"2017-05-02 19:44:10,745","32","40",102,4,0,0,True,LinearRegression,36.38,32,32,200,1,32,0
"2017-05-02 19:44:57,449","32","40",102,4,0,0,True,LinearRegression,36.63,32,32,200,1,32,0
"2017-05-02 19:45:43,812","32","40",102,4,0,0,True,LinearRegression,36.41,32,32,200,1,32,0
"2017-05-02 19:46:30,618","32","40",102,4,0,0,True,LinearRegression,36.77,32,32,200,1,32,0
"2017-05-02 19:47:17,460","32","40",102,4,0,0,True,LinearRegression,36.75,32,32,200,1,32,0
"2017-05-02 19:48:03,806","32","40",102,4,0,0,True,LinearRegression,35.98,32,32,200,1,32,0
"2017-05-02 19:48:50,190","32","40",102,4,0,0,True,LinearRegression,36.49,32,32,200,1,32,0
"2017-05-02 19:49:36,696","32","40",102,4,0,0,True,LinearRegression,36.50,32,32,200,1,32,0
"2017-05-02 19:50:23,391","32","40",102,4,0,0,True,LinearRegression,36.67,32,32,200,1,32,0
"2017-05-02 19:51:10,623","32","40",102,4,0,0,True,LinearRegression,37.09,32,32,200,1,32,0
"2017-05-02 19:51:57,161","32","40",102,4,0,0,True,LinearRegression,36.61,32,32,200,1,32,0
"2017-05-02 19:52:44,284","32","40",102,4,0,0,True,LinearRegression,37.04,32,32,200,1,32,0
"2017-05-02 19:53:30,977","32","40",102,4,0,0,True,LinearRegression,36.84,32,32,200,1,32,0
"2017-05-02 19:54:18,307","32","40",102,4,0,0,True,LinearRegression,36.93,32,32,200,1,32,0
"2017-05-02 19:55:06,556","32","40",102,4,0,0,True,LinearRegression,37.55,32,32,200,1,32,0
"2017-05-02 19:55:53,590","32","40",102,4,0,0,True,LinearRegression,36.67,32,32,200,1,32,0
"2017-05-02 19:56:40,673","32","40",102,4,0,0,True,LinearRegression,36.52,32,32,200,1,32,0
"2017-05-02 19:57:27,278","32","40",102,4,0,0,True,LinearRegression,36.60,32,32,200,1,32,0
