"2017-04-28 13:53:14,089",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 13:55:25,399","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.28,131,1480,965,1480,897,370,131
"2017-04-28 13:57:43,395","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,16.27,126,1480,959,1480,897,370,126
"2017-04-28 13:59:59,718","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.28,138,1480,965,1480,887,370,138
"2017-04-28 14:02:19,150","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.08,143,1480,956,1480,892,370,143
"2017-04-28 14:04:32,470","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.66,136,1480,975,1480,895,370,136
"2017-04-28 14:06:42,800","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.36,127,1480,961,1480,901,370,127
"2017-04-28 14:08:52,973","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.13,130,1480,950,1480,905,370,130
"2017-04-28 14:11:02,519","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.71,131,1480,952,1480,896,370,131
"2017-04-28 14:13:13,176","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.39,121,1480,947,1480,883,370,121
"2017-04-28 14:15:21,115","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.31,118,1480,939,1480,932,370,118
"2017-04-28 14:17:34,617","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.96,134,1480,961,1480,889,370,134
"2017-04-28 14:19:52,145","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.39,139,1480,972,1480,909,370,139
"2017-04-28 14:22:12,512","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.47,128,1480,967,1480,895,370,128
"2017-04-28 14:24:29,308","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.82,120,1480,935,1480,871,370,120
"2017-04-28 14:26:45,965","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.78,136,1480,961,1480,895,370,136
"2017-04-28 14:29:05,059","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.20,117,1480,961,1480,904,370,117
"2017-04-28 14:31:22,650","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.05,132,1480,965,1480,917,370,132
"2017-04-28 14:33:35,107","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.77,118,1480,930,1480,894,370,118
"2017-04-28 14:35:51,416","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.45,132,1480,973,1480,878,370,132
"2017-04-28 14:38:07,606","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.73,115,1480,991,1480,886,370,115
"2017-04-28 14:40:23,321","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.27,117,1480,948,1480,872,370,117
"2017-04-28 14:42:36,690","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.69,160,1480,966,1480,892,370,160
"2017-04-28 14:44:49,814","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.44,139,1480,953,1480,880,370,139
"2017-04-28 14:47:04,024","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.60,129,1480,966,1480,886,370,129
"2017-04-28 14:49:21,191","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.28,149,1480,942,1480,884,370,149
"2017-04-28 13:54:56,909","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.10,140,1480,959,1480,935,370,140
"2017-04-28 13:57:12,100","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.35,111,1480,950,1480,900,370,111
"2017-04-28 13:59:23,016","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.90,118,1480,978,1480,884,370,118
"2017-04-28 14:01:30,668","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,11.45,130,1480,942,1480,895,370,130
"2017-04-28 14:03:45,268","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.88,128,1480,948,1480,916,370,128
"2017-04-28 14:05:59,152","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.15,112,1480,971,1480,873,370,112
"2017-04-28 14:08:10,539","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.60,147,1480,964,1480,960,370,147
"2017-04-28 14:10:20,756","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.23,133,1480,979,1480,865,370,133
"2017-04-28 14:12:32,129","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.06,139,1480,967,1480,906,370,139
"2017-04-28 14:14:39,989","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.67,128,1480,946,1480,940,370,128
"2017-04-28 14:16:45,177","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.31,136,1480,957,1480,897,370,136
"2017-04-28 14:18:57,585","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.07,124,1480,968,1480,898,370,124
"2017-04-28 14:21:09,014","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.64,128,1480,936,1480,892,370,128
"2017-04-28 14:23:22,268","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,13.77,152,1480,947,1480,933,370,152
"2017-04-28 14:25:34,423","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,11.54,127,1480,947,1480,908,370,127
"2017-04-28 14:27:46,689","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.58,136,1480,941,1480,870,370,136
"2017-04-28 14:29:58,165","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,11.99,120,1480,967,1480,909,370,120
"2017-04-28 14:32:13,433","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.76,132,1480,984,1480,906,370,132
"2017-04-28 14:34:21,698","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.50,118,1480,976,1480,900,370,118
"2017-04-28 14:36:38,491","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,14.18,123,1480,966,1480,894,370,123
"2017-04-28 14:38:57,172","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,15.14,116,1480,962,1480,913,370,116
"2017-04-28 14:41:13,521","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.49,118,1480,979,1480,884,370,118
"2017-04-28 14:43:28,572","20,20,20","20,20,20",146,12,12,12,True,LinearRegression,4,12.63,131,1480,960,1480,868,370,131
