"2017-05-02 18:49:47,201",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps
"2017-05-02 18:50:44,248","32","40",62,4,0,0,True,LinearRegression,45.33,32,32,200,0,31,1
"2017-05-02 18:51:40,353","32","40",62,4,0,0,True,LinearRegression,44.26,32,32,200,1,32,0
"2017-05-02 18:52:34,016","32","40",62,4,0,0,True,LinearRegression,41.56,32,32,200,0,31,1
"2017-05-02 18:53:26,278","32","40",62,4,0,0,True,LinearRegression,39.93,32,32,200,1,32,0
"2017-05-02 18:54:17,893","32","40",62,4,0,0,True,LinearRegression,39.73,32,32,200,1,32,0
"2017-05-02 18:55:09,396","32","40",62,4,0,0,True,LinearRegression,39.40,32,32,200,1,32,0
"2017-05-02 18:56:01,113","32","40",62,4,0,0,True,LinearRegression,39.67,32,32,200,1,32,0
"2017-05-02 18:56:54,422","32","40",62,4,0,0,True,LinearRegression,41.23,32,32,200,1,32,0
"2017-05-02 18:57:45,892","32","40",62,4,0,0,True,LinearRegression,39.47,32,32,200,1,32,0
"2017-05-02 18:58:40,205","32","40",62,4,0,0,True,LinearRegression,42.46,32,32,200,0,31,1
"2017-05-02 18:59:34,865","32","40",62,4,0,0,True,LinearRegression,42.52,32,32,200,0,31,1
"2017-05-02 19:00:28,983","32","40",62,4,0,0,True,LinearRegression,42.16,32,32,200,1,32,0
"2017-05-02 19:01:21,932","32","40",62,4,0,0,True,LinearRegression,40.83,32,32,200,1,32,0
"2017-05-02 19:02:18,118","32","40",62,4,0,0,True,LinearRegression,44.01,32,32,200,1,32,0
"2017-05-02 19:03:12,318","32","40",62,4,0,0,True,LinearRegression,42.00,32,32,200,1,32,0
"2017-05-02 19:04:15,354","32","40",62,4,0,0,True,LinearRegression,50.99,32,32,200,1,32,0
"2017-05-02 19:05:12,631","32","40",62,4,0,0,True,LinearRegression,45.13,32,32,200,1,32,0
"2017-05-02 19:06:10,938","32","40",62,4,0,0,True,LinearRegression,46.56,32,32,200,1,32,0
"2017-05-02 19:07:04,737","32","40",62,4,0,0,True,LinearRegression,41.91,32,32,200,0,31,1
"2017-05-02 19:08:08,179","32","40",62,4,0,0,True,LinearRegression,51.34,32,32,200,1,32,0
"2017-05-02 19:09:09,437","32","40",62,4,0,0,True,LinearRegression,49.35,32,32,200,1,32,0
"2017-05-02 19:10:05,404","32","40",62,4,0,0,True,LinearRegression,44.00,32,32,200,1,32,0
"2017-05-02 19:10:57,463","32","40",62,4,0,0,True,LinearRegression,40.10,32,32,200,1,32,0
"2017-05-02 19:11:48,910","32","40",62,4,0,0,True,LinearRegression,39.36,32,32,200,1,32,0
"2017-05-02 19:12:41,007","32","40",62,4,0,0,True,LinearRegression,40.22,32,32,200,0,31,1
