"2017-05-02 18:12:20,905",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps
"2017-05-02 18:42:56,354","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1166.86,500,100,50,0,0,1365,0,1430,0,1402
"2017-05-02 19:12:32,448","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1091.87,500,100,50,0,0,1374,0,1500,0,1409
"2017-05-02 19:41:29,994","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1110.95,500,100,50,0,0,1367,0,1439,0,1387
"2017-05-02 20:09:44,875","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1084.54,500,100,50,0,0,1394,0,1453,0,1411
"2017-05-02 20:38:06,248","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1085.19,500,100,50,0,0,1355,0,1425,0,1426
"2017-05-02 21:08:07,268","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1125.14,500,100,50,0,0,1379,0,1472,0,1378
"2017-05-02 21:37:55,263","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1108.83,500,100,50,0,0,1382,0,1461,0,1403
"2017-05-02 22:07:51,421","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1102.52,500,100,50,0,0,1376,0,1483,0,1402
"2017-05-02 22:37:37,662","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1094.08,500,100,50,0,0,1396,0,1432,0,1439
"2017-05-02 23:07:49,266","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1118.67,500,100,50,0,0,1367,0,1459,0,1436
"2017-05-02 23:37:57,738","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1119.41,500,100,50,0,0,1386,0,1403,0,1482
"2017-05-03 00:04:52,596","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1025.42,500,100,50,0,0,1364,0,1442,0,1493
"2017-05-03 00:33:49,442","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1089.38,500,100,50,0,0,1389,0,1431,0,1425
"2017-05-03 01:05:05,936","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1223.43,500,100,50,0,0,1363,0,1396,0,1414
"2017-05-03 01:35:07,645","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1184.20,500,100,50,0,0,1384,0,1428,0,1376
"2017-05-03 02:06:08,328","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1241.81,500,100,50,0,0,1363,0,1405,0,1390
"2017-05-03 02:35:58,951","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1178.21,500,100,50,0,0,1356,0,1427,0,1410
"2017-05-03 03:05:39,928","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,1168.05,500,100,50,0,0,1372,0,1474,0,1390
"2017-05-03 03:31:27,720","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,980.30,500,100,50,0,0,1394,0,1449,0,1439
"2017-05-03 03:56:45,073","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,961.26,500,100,50,0,0,1351,0,1448,0,1418
"2017-05-03 04:22:05,867","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,964.15,500,100,50,0,0,1381,0,1458,0,1419
"2017-05-03 04:47:28,414","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,961.21,500,100,50,0,0,1377,0,1422,0,1441
"2017-05-03 05:12:49,612","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,960.03,500,100,50,0,0,1349,0,1432,0,1394
"2017-05-03 05:38:04,254","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,959.62,500,100,50,0,0,1428,0,1413,0,1445
"2017-05-03 06:03:21,171","30,30,30","50,50,50",62,7,7,7,True,LinearRegression,959.48,500,100,50,0,0,1378,0,1484,0,1401
