Layer,1misclassif-60-mean,1misclassif-90-mean,1misclassif-102-mean,1misclassif-106-mean,1misclassif-60-stddev,1misclassif-90-stddev,1misclassif-102-stddev,1misclassif-106-stddev,1misclassif-60-stddevneg,1misclassif-90-stddevneg,1misclassif-102-stddevneg,1misclassif-106-stddevneg,1misclassif-60-amin,1misclassif-90-amin,1misclassif-102-amin,1misclassif-106-amin,1misclassif-60-q1,1misclassif-90-q1,1misclassif-102-q1,1misclassif-106-q1,1misclassif-60-q2,1misclassif-90-q2,1misclassif-102-q2,1misclassif-106-q2,1misclassif-60-q3,1misclassif-90-q3,1misclassif-102-q3,1misclassif-106-q3,1misclassif-60-amax,1misclassif-90-amax,1misclassif-102-amax,1misclassif-106-amax
1,85.4,84.8918918919,84.9702702703,84.2027027027,86.7642519362,86.1540858842,86.0884806478,85.4596047577,84.0357480638,83.6296978996,83.8520598927,82.9458006477,80.0,81.0810810811,81.6216216216,81.3513513514,84.5945945946,84.0540540541,84.2567567568,83.2432432432,85.4054054054,84.8648648649,85.0,84.0540540541,86.4864864865,85.6756756757,85.4054054054,84.9324324324,88.6486486486,87.5675675676,88.3783783784,87.8378378378
2,73.0540540541,72.3783783784,72.9135135135,78.9162162162,74.5634596763,74.0987924825,74.6669740386,80.1916485109,71.5446484318,70.6579642743,71.1600529884,77.6407839215,69.1891891892,68.6486486486,68.3783783784,75.6756756757,72.1621621622,71.3513513514,71.8918918919,78.1081081081,72.972972973,72.2972972973,73.2432432432,78.9189189189,74.0540540541,73.3108108108,74.0540540541,79.7972972973,77.027027027,77.027027027,77.2972972973,82.972972973
3,75.3756756757,73.8783783784,75.0297297297,78.0243243243,76.9436602428,75.5371311991,76.5775527255,79.9958880565,73.8076911086,72.2196255576,73.4819067339,76.0527605921,71.8918918919,70.0,71.8918918919,72.7027027027,74.3243243243,72.972972973,73.9864864865,76.7567567568,75.4054054054,73.7837837838,75.1351351351,78.3783783784,76.2837837838,74.8648648649,75.9459459459,79.527027027,79.7297297297,78.3783783784,79.7297297297,81.6216216216
4,75.8297297297,76.1891891892,75.0648648649,77.1405405405,77.7178553245,78.0036268641,77.5308852199,79.5531262404,73.941604135,74.3747515143,72.5988445098,74.7279548407,71.0810810811,71.8918918919,67.8378378378,71.3513513514,74.3243243243,74.8648648649,73.5135135135,75.3378378378,75.8108108108,76.2162162162,75.2702702703,77.2972972973,77.2972972973,77.3648648649,76.7567567568,78.7162162162,79.4594594595,80.0,80.2702702703,83.5135135135
