Layer,Fullycorrectseq-2-mean,Fullycorrectseq-16-mean,Fullycorrectseq-22-mean,Fullycorrectseq-30-mean,Fullycorrectseq-36-mean,Fullycorrectseq-41-mean,Fullycorrectseq-45-mean,Fullycorrectseq-54-mean,Fullycorrectseq-60-mean,Fullycorrectseq-62-mean,Fullycorrectseq-90-mean,Fullycorrectseq-102-mean,Fullycorrectseq-106-mean,Fullycorrectseq-110-mean,Fullycorrectseq-126-mean,Fullycorrectseq-146-mean,Fullycorrectseq-150-mean,Fullycorrectseq-182-mean,Fullycorrectseq-2-stddev,Fullycorrectseq-16-stddev,Fullycorrectseq-22-stddev,Fullycorrectseq-30-stddev,Fullycorrectseq-36-stddev,Fullycorrectseq-41-stddev,Fullycorrectseq-45-stddev,Fullycorrectseq-54-stddev,Fullycorrectseq-60-stddev,Fullycorrectseq-62-stddev,Fullycorrectseq-90-stddev,Fullycorrectseq-102-stddev,Fullycorrectseq-106-stddev,Fullycorrectseq-110-stddev,Fullycorrectseq-126-stddev,Fullycorrectseq-146-stddev,Fullycorrectseq-150-stddev,Fullycorrectseq-182-stddev,Fullycorrectseq-2-stddevneg,Fullycorrectseq-16-stddevneg,Fullycorrectseq-22-stddevneg,Fullycorrectseq-30-stddevneg,Fullycorrectseq-36-stddevneg,Fullycorrectseq-41-stddevneg,Fullycorrectseq-45-stddevneg,Fullycorrectseq-54-stddevneg,Fullycorrectseq-60-stddevneg,Fullycorrectseq-62-stddevneg,Fullycorrectseq-90-stddevneg,Fullycorrectseq-102-stddevneg,Fullycorrectseq-106-stddevneg,Fullycorrectseq-110-stddevneg,Fullycorrectseq-126-stddevneg,Fullycorrectseq-146-stddevneg,Fullycorrectseq-150-stddevneg,Fullycorrectseq-182-stddevneg,Fullycorrectseq-2-amin,Fullycorrectseq-16-amin,Fullycorrectseq-22-amin,Fullycorrectseq-30-amin,Fullycorrectseq-36-amin,Fullycorrectseq-41-amin,Fullycorrectseq-45-amin,Fullycorrectseq-54-amin,Fullycorrectseq-60-amin,Fullycorrectseq-62-amin,Fullycorrectseq-90-amin,Fullycorrectseq-102-amin,Fullycorrectseq-106-amin,Fullycorrectseq-110-amin,Fullycorrectseq-126-amin,Fullycorrectseq-146-amin,Fullycorrectseq-150-amin,Fullycorrectseq-182-amin,Fullycorrectseq-2-q1,Fullycorrectseq-16-q1,Fullycorrectseq-22-q1,Fullycorrectseq-30-q1,Fullycorrectseq-36-q1,Fullycorrectseq-41-q1,Fullycorrectseq-45-q1,Fullycorrectseq-54-q1,Fullycorrectseq-60-q1,Fullycorrectseq-62-q1,Fullycorrectseq-90-q1,Fullycorrectseq-102-q1,Fullycorrectseq-106-q1,Fullycorrectseq-110-q1,Fullycorrectseq-126-q1,Fullycorrectseq-146-q1,Fullycorrectseq-150-q1,Fullycorrectseq-182-q1,Fullycorrectseq-2-q2,Fullycorrectseq-16-q2,Fullycorrectseq-22-q2,Fullycorrectseq-30-q2,Fullycorrectseq-36-q2,Fullycorrectseq-41-q2,Fullycorrectseq-45-q2,Fullycorrectseq-54-q2,Fullycorrectseq-60-q2,Fullycorrectseq-62-q2,Fullycorrectseq-90-q2,Fullycorrectseq-102-q2,Fullycorrectseq-106-q2,Fullycorrectseq-110-q2,Fullycorrectseq-126-q2,Fullycorrectseq-146-q2,Fullycorrectseq-150-q2,Fullycorrectseq-182-q2,Fullycorrectseq-2-q3,Fullycorrectseq-16-q3,Fullycorrectseq-22-q3,Fullycorrectseq-30-q3,Fullycorrectseq-36-q3,Fullycorrectseq-41-q3,Fullycorrectseq-45-q3,Fullycorrectseq-54-q3,Fullycorrectseq-60-q3,Fullycorrectseq-62-q3,Fullycorrectseq-90-q3,Fullycorrectseq-102-q3,Fullycorrectseq-106-q3,Fullycorrectseq-110-q3,Fullycorrectseq-126-q3,Fullycorrectseq-146-q3,Fullycorrectseq-150-q3,Fullycorrectseq-182-q3,Fullycorrectseq-2-amax,Fullycorrectseq-16-amax,Fullycorrectseq-22-amax,Fullycorrectseq-30-amax,Fullycorrectseq-36-amax,Fullycorrectseq-41-amax,Fullycorrectseq-45-amax,Fullycorrectseq-54-amax,Fullycorrectseq-60-amax,Fullycorrectseq-62-amax,Fullycorrectseq-90-amax,Fullycorrectseq-102-amax,Fullycorrectseq-106-amax,Fullycorrectseq-110-amax,Fullycorrectseq-126-amax,Fullycorrectseq-146-amax,Fullycorrectseq-150-amax,Fullycorrectseq-182-amax,Mispredictedtimesteps-2-mean,Mispredictedtimesteps-16-mean,Mispredictedtimesteps-22-mean,Mispredictedtimesteps-30-mean,Mispredictedtimesteps-36-mean,Mispredictedtimesteps-41-mean,Mispredictedtimesteps-45-mean,Mispredictedtimesteps-54-mean,Mispredictedtimesteps-60-mean,Mispredictedtimesteps-62-mean,Mispredictedtimesteps-90-mean,Mispredictedtimesteps-102-mean,Mispredictedtimesteps-106-mean,Mispredictedtimesteps-110-mean,Mispredictedtimesteps-126-mean,Mispredictedtimesteps-146-mean,Mispredictedtimesteps-150-mean,Mispredictedtimesteps-182-mean,Mispredictedtimesteps-2-stddev,Mispredictedtimesteps-16-stddev,Mispredictedtimesteps-22-stddev,Mispredictedtimesteps-30-stddev,Mispredictedtimesteps-36-stddev,Mispredictedtimesteps-41-stddev,Mispredictedtimesteps-45-stddev,Mispredictedtimesteps-54-stddev,Mispredictedtimesteps-60-stddev,Mispredictedtimesteps-62-stddev,Mispredictedtimesteps-90-stddev,Mispredictedtimesteps-102-stddev,Mispredictedtimesteps-106-stddev,Mispredictedtimesteps-110-stddev,Mispredictedtimesteps-126-stddev,Mispredictedtimesteps-146-stddev,Mispredictedtimesteps-150-stddev,Mispredictedtimesteps-182-stddev,Mispredictedtimesteps-2-stddevneg,Mispredictedtimesteps-16-stddevneg,Mispredictedtimesteps-22-stddevneg,Mispredictedtimesteps-30-stddevneg,Mispredictedtimesteps-36-stddevneg,Mispredictedtimesteps-41-stddevneg,Mispredictedtimesteps-45-stddevneg,Mispredictedtimesteps-54-stddevneg,Mispredictedtimesteps-60-stddevneg,Mispredictedtimesteps-62-stddevneg,Mispredictedtimesteps-90-stddevneg,Mispredictedtimesteps-102-stddevneg,Mispredictedtimesteps-106-stddevneg,Mispredictedtimesteps-110-stddevneg,Mispredictedtimesteps-126-stddevneg,Mispredictedtimesteps-146-stddevneg,Mispredictedtimesteps-150-stddevneg,Mispredictedtimesteps-182-stddevneg,Mispredictedtimesteps-2-amin,Mispredictedtimesteps-16-amin,Mispredictedtimesteps-22-amin,Mispredictedtimesteps-30-amin,Mispredictedtimesteps-36-amin,Mispredictedtimesteps-41-amin,Mispredictedtimesteps-45-amin,Mispredictedtimesteps-54-amin,Mispredictedtimesteps-60-amin,Mispredictedtimesteps-62-amin,Mispredictedtimesteps-90-amin,Mispredictedtimesteps-102-amin,Mispredictedtimesteps-106-amin,Mispredictedtimesteps-110-amin,Mispredictedtimesteps-126-amin,Mispredictedtimesteps-146-amin,Mispredictedtimesteps-150-amin,Mispredictedtimesteps-182-amin,Mispredictedtimesteps-2-q1,Mispredictedtimesteps-16-q1,Mispredictedtimesteps-22-q1,Mispredictedtimesteps-30-q1,Mispredictedtimesteps-36-q1,Mispredictedtimesteps-41-q1,Mispredictedtimesteps-45-q1,Mispredictedtimesteps-54-q1,Mispredictedtimesteps-60-q1,Mispredictedtimesteps-62-q1,Mispredictedtimesteps-90-q1,Mispredictedtimesteps-102-q1,Mispredictedtimesteps-106-q1,Mispredictedtimesteps-110-q1,Mispredictedtimesteps-126-q1,Mispredictedtimesteps-146-q1,Mispredictedtimesteps-150-q1,Mispredictedtimesteps-182-q1,Mispredictedtimesteps-2-q2,Mispredictedtimesteps-16-q2,Mispredictedtimesteps-22-q2,Mispredictedtimesteps-30-q2,Mispredictedtimesteps-36-q2,Mispredictedtimesteps-41-q2,Mispredictedtimesteps-45-q2,Mispredictedtimesteps-54-q2,Mispredictedtimesteps-60-q2,Mispredictedtimesteps-62-q2,Mispredictedtimesteps-90-q2,Mispredictedtimesteps-102-q2,Mispredictedtimesteps-106-q2,Mispredictedtimesteps-110-q2,Mispredictedtimesteps-126-q2,Mispredictedtimesteps-146-q2,Mispredictedtimesteps-150-q2,Mispredictedtimesteps-182-q2,Mispredictedtimesteps-2-q3,Mispredictedtimesteps-16-q3,Mispredictedtimesteps-22-q3,Mispredictedtimesteps-30-q3,Mispredictedtimesteps-36-q3,Mispredictedtimesteps-41-q3,Mispredictedtimesteps-45-q3,Mispredictedtimesteps-54-q3,Mispredictedtimesteps-60-q3,Mispredictedtimesteps-62-q3,Mispredictedtimesteps-90-q3,Mispredictedtimesteps-102-q3,Mispredictedtimesteps-106-q3,Mispredictedtimesteps-110-q3,Mispredictedtimesteps-126-q3,Mispredictedtimesteps-146-q3,Mispredictedtimesteps-150-q3,Mispredictedtimesteps-182-q3,Mispredictedtimesteps-2-amax,Mispredictedtimesteps-16-amax,Mispredictedtimesteps-22-amax,Mispredictedtimesteps-30-amax,Mispredictedtimesteps-36-amax,Mispredictedtimesteps-41-amax,Mispredictedtimesteps-45-amax,Mispredictedtimesteps-54-amax,Mispredictedtimesteps-60-amax,Mispredictedtimesteps-62-amax,Mispredictedtimesteps-90-amax,Mispredictedtimesteps-102-amax,Mispredictedtimesteps-106-amax,Mispredictedtimesteps-110-amax,Mispredictedtimesteps-126-amax,Mispredictedtimesteps-146-amax,Mispredictedtimesteps-150-amax,Mispredictedtimesteps-182-amax
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.63,1000.56,1000.55,1000.77,1037.2,1001.28,1000.72,1005.85,1080.48,1001.1,1036.63,1086.89,1033.04,1000.64,1000.56,1002.42,1026.47,1000.7,1001.64641527,1001.43544275,1001.28993243,1001.74831488,1049.01101181,1002.52963995,1001.60408144,1015.55708504,1102.18413785,1002.25325626,1058.83660037,1108.35853279,1042.28869721,1001.35442284,1001.32576759,1005.2455265,1056.25068334,1001.58881944,999.613584731,999.684557255,999.810067571,999.791685122,1025.38898819,1000.03036005,999.835918556,996.142914959,1058.77586215,999.946743741,1014.42339963,1065.42146721,1023.79130279,999.925577156,999.794232411,999.5944735,996.689316663,999.811180558,1000.0,1000.0,1000.0,1000.0,1018.0,1000.0,1000.0,1000.0,1038.0,1000.0,1003.0,1035.0,1010.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1032.0,1000.0,1000.0,1001.0,1063.75,1000.0,1018.75,1073.0,1026.75,1000.0,1000.0,1001.0,1007.75,1000.0,1000.0,1000.0,1000.0,1001.0,1036.0,1001.0,1000.0,1003.0,1077.0,1001.0,1033.0,1089.0,1032.0,1001.0,1000.0,1002.0,1015.0,1000.0,1001.0,1001.0,1001.0,1001.0,1041.0,1002.0,1001.0,1006.0,1095.0,1002.0,1050.0,1101.25,1037.25,1001.0,1001.0,1003.0,1037.25,1001.0,1004.0,1005.0,1003.0,1005.0,1126.0,1005.0,1003.0,1064.0,1144.0,1005.0,1095.0,1152.0,1065.0,1003.0,1003.0,1018.0,1159.0,1004.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2058.74,2049.7,1001.3,1000.57,2090.04,1002.4,1000.58,1063.02,2538.23,1002.74,1821.63,2572.22,1187.58,1000.87,1000.65,1169.3,1242.75,1000.83,2221.63755185,2234.75564028,1003.80798724,1001.32173133,2289.26494422,1004.10880075,1001.40680106,1157.2502478,2805.58926597,1005.87885329,2322.88443948,2842.54397526,1274.71543252,1001.77172058,1001.46700673,1493.65093649,1756.88998823,1001.8888201,1895.84244815,1864.64435972,998.792012759,999.818268665,1890.81505578,1000.69119925,999.753198936,968.789752202,2270.87073403,999.601146706,1320.37556052,2301.89602474,1100.44456748,999.968279422,999.832993268,844.949063513,728.610011767,999.771179902,1527.0,1377.0,1000.0,1000.0,1539.0,1000.0,1000.0,1002.0,1880.0,1000.0,1094.0,1885.0,1067.0,1000.0,1000.0,1002.0,1008.0,1000.0,1971.75,1961.0,1000.0,1000.0,1975.0,1001.0,1000.0,1013.0,2358.25,1001.0,1430.75,2396.5,1134.25,1000.0,1000.0,1020.0,1045.0,1000.0,2083.0,2091.0,1001.0,1000.0,2131.5,1002.0,1000.0,1032.0,2576.0,1002.0,1644.5,2645.5,1172.5,1001.0,1000.5,1051.0,1090.5,1001.0,2191.5,2189.0,1002.0,1001.0,2266.25,1003.0,1001.0,1067.75,2739.75,1003.0,2253.5,2774.25,1215.5,1001.0,1001.0,1132.75,1254.5,1001.0,2298.0,2276.0,1023.0,1003.0,2386.0,1007.0,1004.0,1582.0,3036.0,1023.0,2967.0,2987.0,1566.0,1004.0,1005.0,2412.0,4051.0,1005.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.17,1016.42,1001.1,1000.57,1159.97,1002.21,1000.58,1033.32,1252.39,1002.78,1317.83,1283.78,1137.31,1000.87,1000.85,1115.97,1158.52,1000.71,1053.49451132,1038.39870788,1002.11488916,1001.36063266,1259.61742395,1003.72851902,1001.40680106,1080.61521752,1418.34089002,1006.71085232,1826.65761433,1476.56306876,1224.786019,1001.74926105,1001.85374299,1353.16474931,1487.57903665,1001.56199765,982.84548868,994.441292122,1000.08511084,999.779367342,1060.32257605,1000.69148098,999.753198936,986.024782483,1086.43910998,998.849147675,809.002385675,1090.99693124,1049.833981,999.990738947,999.846257005,878.77525069,829.460963352,999.858002347,1000.0,1000.0,1000.0,1000.0,1005.0,1000.0,1000.0,1000.0,1001.0,1000.0,1000.0,1004.0,1012.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1089.0,1001.0,1000.0,1007.0,1109.25,1001.0,1008.0,1125.0,1096.0,1000.0,1000.0,1010.75,1020.0,1000.0,1003.5,1006.5,1001.0,1000.0,1136.0,1002.0,1000.0,1017.0,1254.5,1002.0,1090.0,1288.0,1122.5,1001.0,1001.0,1030.5,1043.0,1000.5,1024.25,1026.0,1002.0,1001.0,1221.25,1003.0,1001.0,1043.25,1376.25,1003.0,1273.25,1443.25,1155.75,1001.0,1001.0,1096.25,1186.25,1001.0,1265.0,1086.0,1005.0,1004.0,1443.0,1006.0,1004.0,1343.0,1699.0,1031.0,2729.0,1707.0,1825.0,1004.0,1004.0,2425.0,3826.0,1003.0
