Rule,Layer 1,Layer 2,Layer 3
1fullycorrectseq-62-mean,$3.47\pm2.03$,$2.39\pm1.95$,$1.64\pm1.57$
1fullycorrectseq-54-mean,$5.79\pm2.49$,$4.00\pm3.28$,$2.44\pm2.75$
1fullycorrectseq-195-195-195-mean,$3.55\pm1.94$,$0.07\pm0.29$,$0.00\pm0.00$
1fullycorrectseq-110-mean,$3.79\pm2.13$,$0.39\pm0.66$,$0.00\pm0.00$
1fullycorrectseq-102-mean,$4.21\pm1.94$,$0.05\pm0.26$,$0.00\pm0.00$
1fullycorrectseq-165-165-165-mean,$4.34\pm2.20$,$0.09\pm0.29$,$0.01\pm0.10$
1fullycorrectseq-146-146-146-mean,$5.25\pm2.13$,$0.93\pm1.61$,$0.16\pm0.52$
