Rule,Layer 1,Layer 2,Layer 3
Mispredictedtimesteps-54-54-54-mean,$1430.33\pm27.92$,$1810.92\pm95.31$,$1497.77\pm46.39$
Mispredictedtimesteps-62-62-62-mean,$1422.20\pm22.08$,$1482.15\pm28.13$,$1468.48\pm30.65$
