Layer,1misclassif-60-mean,1misclassif-90-mean,1misclassif-102-mean,1misclassif-106-mean,1misclassif-60-stddev,1misclassif-90-stddev,1misclassif-102-stddev,1misclassif-106-stddev,1misclassif-60-stddevneg,1misclassif-90-stddevneg,1misclassif-102-stddevneg,1misclassif-106-stddevneg,1misclassif-60-amin,1misclassif-90-amin,1misclassif-102-amin,1misclassif-106-amin,1misclassif-60-q1,1misclassif-90-q1,1misclassif-102-q1,1misclassif-106-q1,1misclassif-60-q2,1misclassif-90-q2,1misclassif-102-q2,1misclassif-106-q2,1misclassif-60-q3,1misclassif-90-q3,1misclassif-102-q3,1misclassif-106-q3,1misclassif-60-amax,1misclassif-90-amax,1misclassif-102-amax,1misclassif-106-amax
1,53.2662162162,52.3871621622,52.525,49.0040540541,54.2482135919,53.5893354058,53.6920096499,50.3095818587,52.2842188405,51.1849889185,51.3579903501,47.6985262494,51.2162162162,49.527027027,49.2567567568,46.2162162162,52.5,51.6385135135,51.7567567568,48.0405405405,53.2432432432,52.3648648649,52.6351351351,48.9527027027,54.0540540541,53.3108108108,53.4459459459,49.7466216216,55.472972973,54.8648648649,55.2702702703,53.0405405405
2,57.0932432432,55.7945945946,56.5351351351,54.3668918919,58.1550640742,56.9156511113,57.6561085721,55.3049212652,56.0314224123,54.6735380779,55.4141616982,53.4288625186,54.9324324324,53.1081081081,54.1216216216,51.6891891892,56.3513513514,55.0506756757,55.8614864865,53.7837837838,57.0608108108,55.6756756757,56.4189189189,54.2905405405,57.7871621622,56.5709459459,57.2972972973,54.8817567568,59.7297297297,58.7162162162,59.4594594595,56.8243243243
3,73.7297297297,71.6621621622,73.1108108108,76.2297297297,75.7562161441,73.8994956345,75.244917645,78.3400456215,71.7032433153,69.4248286898,70.9767039767,74.119413838,68.6486486486,65.6756756757,68.6486486486,70.5405405405,72.3648648649,70.2702702703,71.8243243243,75.0,73.7837837838,71.3513513514,73.2432432432,76.4864864865,74.8648648649,72.972972973,74.5945945946,77.8378378378,78.9189189189,77.5675675676,77.8378378378,80.0
