Layer,1misclassif-2-mean,1misclassif-16-mean,1misclassif-22-mean,1misclassif-30-mean,1misclassif-36-mean,1misclassif-41-mean,1misclassif-45-mean,1misclassif-54-54-54-mean,1misclassif-60-mean,1misclassif-62-mean,1misclassif-90-90-90-mean,1misclassif-102-mean,1misclassif-106-mean,1misclassif-110-mean,1misclassif-126-mean,1misclassif-146-mean,1misclassif-150-mean,1misclassif-182-mean,1misclassif-153-153-153-mean,1misclassif-165-165-165-mean,1misclassif-195-195-195-mean,1misclassif-2-stddev,1misclassif-16-stddev,1misclassif-22-stddev,1misclassif-30-stddev,1misclassif-36-stddev,1misclassif-41-stddev,1misclassif-45-stddev,1misclassif-54-54-54-stddev,1misclassif-60-stddev,1misclassif-62-stddev,1misclassif-90-90-90-stddev,1misclassif-102-stddev,1misclassif-106-stddev,1misclassif-110-stddev,1misclassif-126-stddev,1misclassif-146-stddev,1misclassif-150-stddev,1misclassif-182-stddev,1misclassif-153-153-153-stddev,1misclassif-165-165-165-stddev,1misclassif-195-195-195-stddev,1misclassif-2-stddevneg,1misclassif-16-stddevneg,1misclassif-22-stddevneg,1misclassif-30-stddevneg,1misclassif-36-stddevneg,1misclassif-41-stddevneg,1misclassif-45-stddevneg,1misclassif-54-54-54-stddevneg,1misclassif-60-stddevneg,1misclassif-62-stddevneg,1misclassif-90-90-90-stddevneg,1misclassif-102-stddevneg,1misclassif-106-stddevneg,1misclassif-110-stddevneg,1misclassif-126-stddevneg,1misclassif-146-stddevneg,1misclassif-150-stddevneg,1misclassif-182-stddevneg,1misclassif-153-153-153-stddevneg,1misclassif-165-165-165-stddevneg,1misclassif-195-195-195-stddevneg,1misclassif-2-amin,1misclassif-16-amin,1misclassif-22-amin,1misclassif-30-amin,1misclassif-36-amin,1misclassif-41-amin,1misclassif-45-amin,1misclassif-54-54-54-amin,1misclassif-60-amin,1misclassif-62-amin,1misclassif-90-90-90-amin,1misclassif-102-amin,1misclassif-106-amin,1misclassif-110-amin,1misclassif-126-amin,1misclassif-146-amin,1misclassif-150-amin,1misclassif-182-amin,1misclassif-153-153-153-amin,1misclassif-165-165-165-amin,1misclassif-195-195-195-amin,1misclassif-2-q1,1misclassif-16-q1,1misclassif-22-q1,1misclassif-30-q1,1misclassif-36-q1,1misclassif-41-q1,1misclassif-45-q1,1misclassif-54-54-54-q1,1misclassif-60-q1,1misclassif-62-q1,1misclassif-90-90-90-q1,1misclassif-102-q1,1misclassif-106-q1,1misclassif-110-q1,1misclassif-126-q1,1misclassif-146-q1,1misclassif-150-q1,1misclassif-182-q1,1misclassif-153-153-153-q1,1misclassif-165-165-165-q1,1misclassif-195-195-195-q1,1misclassif-2-q2,1misclassif-16-q2,1misclassif-22-q2,1misclassif-30-q2,1misclassif-36-q2,1misclassif-41-q2,1misclassif-45-q2,1misclassif-54-54-54-q2,1misclassif-60-q2,1misclassif-62-q2,1misclassif-90-90-90-q2,1misclassif-102-q2,1misclassif-106-q2,1misclassif-110-q2,1misclassif-126-q2,1misclassif-146-q2,1misclassif-150-q2,1misclassif-182-q2,1misclassif-153-153-153-q2,1misclassif-165-165-165-q2,1misclassif-195-195-195-q2,1misclassif-2-q3,1misclassif-16-q3,1misclassif-22-q3,1misclassif-30-q3,1misclassif-36-q3,1misclassif-41-q3,1misclassif-45-q3,1misclassif-54-54-54-q3,1misclassif-60-q3,1misclassif-62-q3,1misclassif-90-90-90-q3,1misclassif-102-q3,1misclassif-106-q3,1misclassif-110-q3,1misclassif-126-q3,1misclassif-146-q3,1misclassif-150-q3,1misclassif-182-q3,1misclassif-153-153-153-q3,1misclassif-165-165-165-q3,1misclassif-195-195-195-q3,1misclassif-2-amax,1misclassif-16-amax,1misclassif-22-amax,1misclassif-30-amax,1misclassif-36-amax,1misclassif-41-amax,1misclassif-45-amax,1misclassif-54-54-54-amax,1misclassif-60-amax,1misclassif-62-amax,1misclassif-90-90-90-amax,1misclassif-102-amax,1misclassif-106-amax,1misclassif-110-amax,1misclassif-126-amax,1misclassif-146-amax,1misclassif-150-amax,1misclassif-182-amax,1misclassif-153-153-153-amax,1misclassif-165-165-165-amax,1misclassif-195-195-195-amax
1,31.0756756757,32.172972973,25.4939189189,27.7655405405,26.297972973,31.8601351351,31.7,32.5189189189,46.9790540541,31.6216216216,46.2905405405,46.3952702703,43.5155405405,31.922972973,27.8648648649,35.1716216216,19.3263513514,27.2689189189,46.7668918919,46.3466216216,46.4554054054,32.9818399869,34.4468142764,26.7368204216,28.8269431556,27.5113440821,33.0544367609,32.9716970136,33.6680078647,48.026429596,32.6923490697,47.3973088472,47.6392614892,44.8380177066,33.241715346,29.0141492676,36.3489046173,20.3953913469,28.5811979796,48.2083909582,47.5434358964,47.7220556526,29.1695113645,29.8991316695,24.2510174162,26.7041379254,25.0846018638,30.6658335094,30.4283029864,31.3698299731,45.9316785121,30.5508941735,45.1837722338,45.1512790514,42.1930633745,30.6042306,26.7155804621,33.9943386259,18.2573113558,25.9566398582,45.3253928256,45.1498073468,45.1887551582,24.527027027,21.0810810811,22.2972972973,25.3378378378,23.8513513514,28.8513513514,28.5135135135,29.4594594595,44.3918918919,29.0540540541,43.9189189189,43.1756756757,40.6756756757,28.6486486486,24.6621621622,32.2972972973,16.5540540541,23.9189189189,44.3243243243,43.4459459459,43.5135135135,30.1351351351,31.4189189189,24.7297297297,27.027027027,25.472972973,31.0135135135,30.9966216216,31.8074324324,46.4189189189,30.9459459459,45.4898648649,45.5405405405,42.6182432432,30.8783783784,27.027027027,34.375,18.7162162162,26.4527027027,45.6081081081,45.3378378378,45.6756756757,31.3513513514,32.5337837838,25.472972973,27.8378378378,26.1824324324,31.8243243243,31.5540540541,32.5337837838,46.9594594595,31.4527027027,46.3513513514,46.4864864865,43.5810810811,31.9932432432,27.9391891892,35.1351351351,19.3243243243,27.1621621622,46.5540540541,46.3513513514,46.4864864865,32.3817567568,33.5304054054,26.2331081081,28.3952702703,27.0439189189,32.7871621622,32.3817567568,33.3108108108,47.5,32.3648648649,47.0608108108,47.1790540541,44.3412162162,32.6351351351,28.7162162162,36.0135135135,19.9493243243,28.2601351351,47.9054054054,47.1114864865,47.2972972973,35.0675675676,36.2162162162,29.4594594595,30.6756756757,29.5945945946,34.7297297297,35.8108108108,35.0675675676,49.6621621622,33.9189189189,49.2567567568,49.7297297297,47.4324324324,35.2702702703,31.4864864865,38.5810810811,21.7567567568,30.5405405405,50.5405405405,50.0,49.5945945946
2,19.7006756757,18.602027027,30.1493243243,33.1797297297,35.2533783784,37.2702702703,38.2567567568,38.5493243243,51.7790540541,34.8912162162,49.8804054054,51.0425675676,49.4418918919,37.4905405405,33.9790540541,39.3797297297,27.6297297297,32.3114864865,51.6472972973,50.1533783784,50.7891891892,20.8055760675,19.8909815853,31.2669619492,34.5162640387,36.5388102863,38.5361482429,39.4421391773,39.8960208683,52.9238430784,36.0855346614,50.9513398414,52.1232792866,50.5993943353,38.660962945,34.9752069443,40.8149762007,28.48342021,33.5466354825,52.9551366432,51.182663547,51.9866755997,18.5957752839,17.3130724688,29.0316866995,31.8431954207,33.9679464705,36.0043922976,37.0713743363,37.2026277804,50.6342650298,33.696897771,48.8094709695,49.9618558486,48.2843894485,36.3201181361,32.9829011638,37.9444832588,26.7760392495,31.0763374905,50.3394579514,49.1240932097,49.5917027786,17.1621621622,15.2702702703,27.2297297297,29.7972972973,31.8918918919,34.1891891892,35.5405405405,34.1216216216,48.3783783784,31.9594594595,47.5,47.9054054054,45.8783783784,34.5945945946,31.6891891892,35.1351351351,25.8108108108,29.1891891892,48.4459459459,47.972972973,47.7027027027,18.9189189189,17.9054054054,29.2398648649,32.3648648649,34.5777027027,36.2837837838,37.4155405405,37.8040540541,50.9966216216,34.1722972973,49.1216216216,50.3209459459,48.7668918919,36.6554054054,33.1756756757,38.4797297297,27.0777027027,31.4864864865,50.6587837838,49.4425675676,50.1182432432,19.6283783784,18.6148648649,30.2027027027,33.277027027,35.0675675676,37.3648648649,38.277027027,38.5810810811,51.8918918919,34.8986486486,49.8648648649,51.2162162162,49.4256756757,37.4324324324,33.9864864865,39.3918918919,27.7027027027,32.5,51.5878378378,50.2027027027,50.7432432432,20.5405405405,19.527027027,30.8277027027,33.9189189189,36.1655405405,38.1925675676,38.9864864865,39.4087837838,52.5675675676,35.8952702703,50.625,51.7736486486,50.2027027027,38.4459459459,34.5945945946,40.3716216216,28.1756756757,33.1756756757,52.5168918919,50.7601351351,51.6216216216,22.3648648649,21.4864864865,32.8378378378,36.7567567568,38.8513513514,40.1351351351,41.1486486486,41.2837837838,54.4594594595,37.4324324324,52.3648648649,53.2432432432,51.7567567568,40.1351351351,36.3513513514,42.5675675676,29.6621621622,35.472972973,54.7972972973,53.1081081081,53.5810810811
3,72.9243243243,69.3540540541,58.4702702703,65.9621621622,65.9243243243,67.7378378378,68.7567567568,64.0324324324,72.9054054054,61.227027027,72.7216216216,73.4189189189,74.1864864865,68.2135135135,64.3054054054,64.8513513514,56.9756756757,59.3918918919,72.9702702703,72.4540540541,72.8702702703,75.5316635192,77.5356931568,60.9976137972,68.4521186129,68.1407646558,69.9628221411,70.8200361821,66.7707598079,74.7772587426,64.7582547213,74.6116805793,75.2477422003,76.2591246779,70.1409385132,67.3220998846,67.433917784,60.4939043206,62.0620677847,74.9846433863,74.6001701886,74.6896449371,70.3169851294,61.1724149513,55.9429267433,63.4722057115,63.7078839929,65.5128535346,66.6934773315,61.294105057,71.0335520682,57.6957993328,70.831562664,71.5900956375,72.1138482951,66.2860885139,61.2887109262,62.2687849187,53.4574470308,56.721715999,70.9558971543,70.3079379195,71.0508956035,66.4864864865,50.5405405405,50.5405405405,59.4594594595,59.1891891892,61.8918918919,61.6216216216,56.4864864865,67.8378378378,51.0810810811,66.4864864865,69.1891891892,67.5675675676,63.2432432432,57.8378378378,58.9189189189,48.9189189189,52.1621621622,66.2162162162,64.5945945946,67.2972972973,71.0810810811,63.1756756757,56.6891891892,64.5945945946,64.527027027,66.4189189189,67.2972972973,62.1621621622,71.6216216216,58.9189189189,71.3513513514,72.4324324324,72.972972973,66.7567567568,61.8918918919,62.972972973,54.5945945946,57.5675675676,71.6216216216,71.0810810811,71.6216216216,72.8378378378,69.5945945946,58.3783783784,65.6756756757,66.0810810811,67.8378378378,68.6486486486,64.4594594595,72.972972973,62.027027027,72.972972973,73.2432432432,74.0540540541,68.3783783784,64.5945945946,64.5945945946,57.4324324324,59.4594594595,72.8378378378,72.4324324324,72.8378378378,74.7297297297,76.2162162162,59.7972972973,67.8378378378,67.3648648649,69.2567567568,70.5405405405,66.2162162162,74.3243243243,63.7837837838,74.3918918919,74.8648648649,75.6756756757,69.527027027,66.5540540541,66.5540540541,59.4594594595,61.1486486486,74.3243243243,73.7837837838,74.0540540541,78.9189189189,82.4324324324,64.8648648649,71.8918918919,71.3513513514,72.972972973,73.2432432432,69.7297297297,77.5675675676,68.1081081081,76.2162162162,77.5675675676,79.1891891892,72.1621621622,70.8108108108,70.0,65.4054054054,65.4054054054,77.8378378378,76.7567567568,77.027027027
