"2016-11-17 21:45:36,211",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,Successful,Wrong bits
"2016-11-17 21:45:38,246",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,9,34
"2016-11-17 21:45:40,336",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:45:42,462",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:45:44,530",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,19,13
"2016-11-17 21:45:46,667",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1
"2016-11-17 21:45:48,794",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:45:50,841",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:45:53,079",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,32
"2016-11-17 21:45:55,234",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,7,25
"2016-11-17 21:45:57,326",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-17 21:45:59,419",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:01,528",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3
"2016-11-17 21:46:03,580",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,19
"2016-11-17 21:46:05,645",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,15
"2016-11-17 21:46:07,717",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:09,746",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,32
"2016-11-17 21:46:11,898",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,19,16
"2016-11-17 21:46:13,904",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:16,173",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:18,346",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-17 21:46:20,617",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:22,752",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:24,723",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,25,7
"2016-11-17 21:46:26,787",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,24
"2016-11-17 21:46:28,946",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1
"2016-11-17 21:46:31,070",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,6,40
"2016-11-17 21:46:33,336",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,21
"2016-11-17 21:46:35,368",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,29,3
"2016-11-17 21:46:37,431",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:39,440",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,18
"2016-11-17 21:46:41,535",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-17 21:46:43,695",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,32
"2016-11-17 21:46:45,813",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,13,20
"2016-11-17 21:46:47,859",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,24
"2016-11-17 21:46:50,089",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:46:52,263",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,31
"2016-11-17 21:46:54,528",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,27,6
"2016-11-17 21:46:56,521",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15
"2016-11-17 21:46:58,428",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1
"2016-11-17 21:47:00,385",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-17 21:47:02,490",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1
"2016-11-17 21:47:04,720",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,21,11
"2016-11-17 21:47:06,763",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-17 21:47:08,751",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,10
"2016-11-17 21:47:10,845",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0
