"2016-11-17 14:26:07,719",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 14:26:08,207",4,4,102,4,10,10,True,LinearRegression,32,32,10,0,162,1,72
"2016-11-17 14:26:08,606",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,34,10,32
"2016-11-17 14:26:09,023",4,4,102,4,10,10,True,LinearRegression,32,32,10,32,0,32,0
"2016-11-17 14:26:09,429",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,8,32
"2016-11-17 14:26:09,857",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,6,33
"2016-11-17 14:26:10,257",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,10,35
"2016-11-17 14:26:10,676",4,4,102,4,10,10,True,LinearRegression,32,32,10,0,100,0,94
"2016-11-17 14:26:11,092",4,4,102,4,10,10,True,LinearRegression,32,32,10,14,23,15,21
"2016-11-17 14:26:11,507",4,4,102,4,10,10,True,LinearRegression,32,32,10,32,0,32,0
"2016-11-17 14:26:11,934",4,4,102,4,10,10,True,LinearRegression,32,32,10,0,82,2,82
"2016-11-17 14:26:12,338",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,10,32
"2016-11-17 14:26:12,739",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,6,32
"2016-11-17 14:26:13,148",4,4,102,4,10,10,True,LinearRegression,32,32,10,0,90,0,106
"2016-11-17 14:26:13,612",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,38,16,18
"2016-11-17 14:26:14,082",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,9,32
"2016-11-17 14:26:14,510",4,4,102,4,10,10,True,LinearRegression,32,32,10,32,0,32,0
"2016-11-17 14:26:14,943",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,11,32
"2016-11-17 14:26:15,357",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,8,40
"2016-11-17 14:26:15,775",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,10,33
"2016-11-17 14:26:16,200",4,4,102,4,10,10,True,LinearRegression,32,32,10,0,94,0,108
"2016-11-17 14:26:16,623",4,4,102,4,10,10,True,LinearRegression,32,32,10,14,23,16,19
"2016-11-17 14:26:17,123",4,4,102,4,10,10,True,LinearRegression,32,32,10,8,32,4,33
