"2016-11-17 21:18:01,679",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 21:18:02,425",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,4,59,8,33
"2016-11-17 21:18:03,144",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,4,50,13,27
"2016-11-17 21:18:03,934",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,0,32,32,0
"2016-11-17 21:18:04,711",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,29,3,30,2
"2016-11-17 21:18:05,532",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,16,16,32,0
"2016-11-17 21:18:06,285",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,32,0,32,0
"2016-11-17 21:18:06,998",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,8,29,20,15
"2016-11-17 21:18:07,685",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,7,32,15,20
"2016-11-17 21:18:08,422",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,8,35,14,20
"2016-11-17 21:18:09,238",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,16,16,32,0
