"2016-11-16 06:24:49,977",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 06:26:27,847",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:28:05,713",8,8,150,4,40,40,True,32,32,200,0,62
"2016-11-16 06:29:46,524",8,8,150,4,40,40,True,32,32,200,1,52
"2016-11-16 06:31:23,500",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:33:00,382",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:34:35,051",8,8,150,4,40,40,True,32,32,200,0,64
"2016-11-16 06:36:10,062",8,8,150,4,40,40,True,32,32,200,0,152
"2016-11-16 06:37:29,200",8,8,150,4,40,40,True,32,32,200,0,130
"2016-11-16 06:38:57,807",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:40:38,042",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:42:11,148",8,8,150,4,40,40,True,32,32,200,0,87
"2016-11-16 06:43:35,341",8,8,150,4,40,40,True,32,32,200,0,110
"2016-11-16 06:44:58,130",8,8,150,4,40,40,True,32,32,200,0,35
"2016-11-16 06:46:49,138",8,8,150,4,40,40,True,32,32,200,0,139
"2016-11-16 06:48:15,839",8,8,150,4,40,40,True,32,32,200,1,39
"2016-11-16 06:49:56,221",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:51:34,974",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:53:17,743",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:54:41,551",8,8,150,4,40,40,True,32,32,200,0,78
"2016-11-16 06:56:00,745",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 06:57:48,358",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:59:32,553",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:01:09,668",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:02:41,550",8,8,150,4,40,40,True,32,32,200,0,142
"2016-11-16 07:04:20,807",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:05:56,293",8,8,150,4,40,40,True,32,32,200,31,1
"2016-11-16 07:07:32,173",8,8,150,4,40,40,True,32,32,200,0,93
"2016-11-16 07:09:00,844",8,8,150,4,40,40,True,32,32,200,2,57
"2016-11-16 07:10:31,567",8,8,150,4,40,40,True,32,32,200,0,63
"2016-11-16 07:11:59,005",8,8,150,4,40,40,True,32,32,200,0,155
"2016-11-16 07:13:35,440",8,8,150,4,40,40,True,32,32,200,0,153
"2016-11-16 07:15:18,375",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:17:08,375",8,8,150,4,40,40,True,32,32,200,10,29
"2016-11-16 07:19:04,312",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:20:41,939",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:22:14,051",8,8,150,4,40,40,True,32,32,200,0,75
"2016-11-16 07:23:48,501",8,8,150,4,40,40,True,32,32,200,0,150
"2016-11-16 07:25:24,665",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:26:58,934",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:28:35,820",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:30:08,329",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:31:34,448",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 07:33:07,164",8,8,150,4,40,40,True,32,32,200,0,37
"2016-11-16 07:34:44,748",8,8,150,4,40,40,True,32,32,200,0,61
"2016-11-16 07:36:25,499",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 07:38:09,765",8,8,150,4,40,40,True,32,32,200,0,158
