"2016-11-18 14:45:11,931",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,Successful,Wrong bits
"2016-11-18 14:48:44,513",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,8,32
"2016-11-18 14:48:47,594",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,22,10
"2016-11-18 14:48:50,726",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,20,12
"2016-11-18 14:48:55,280",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,27,5
"2016-11-18 14:48:59,394",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,10,28
"2016-11-18 14:49:02,740",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:49:06,244",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:49:09,737",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,7,45
"2016-11-18 14:49:12,932",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,134
"2016-11-18 14:49:16,179",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,17,15
"2016-11-18 14:49:19,396",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,3,39
"2016-11-18 14:49:23,997",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,28,5
"2016-11-18 14:49:27,830",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,31,1
"2016-11-18 14:49:31,249",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,9,34
"2016-11-18 14:49:34,897",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,7,34
"2016-11-18 14:49:38,693",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,111
"2016-11-18 14:49:42,227",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,13,23
"2016-11-18 14:49:45,524",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:49:48,973",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,9,41
"2016-11-18 14:49:52,472",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,10,25
"2016-11-18 14:49:55,957",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,106
"2016-11-18 14:49:59,576",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:50:03,027",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,147
"2016-11-18 14:50:06,486",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,28,4
"2016-11-18 14:50:10,046",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,113
"2016-11-18 14:50:13,184",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,5,46
"2016-11-18 14:50:16,465",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,141
"2016-11-18 14:50:19,679",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,16,16
"2016-11-18 14:50:24,223",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,88
"2016-11-18 14:50:27,934",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,11,22
"2016-11-18 14:50:31,190",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,27,5
"2016-11-18 14:50:34,660",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:50:38,160",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,12,22
"2016-11-18 14:50:41,383",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
"2016-11-18 14:50:44,416",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,23,10
"2016-11-18 14:50:47,512",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,0,78
"2016-11-18 14:50:52,143",4,4,150,4,40,40,True,LinearRegression,32,32,200,1,32,0
