"2016-11-17 00:48:24,755",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 00:48:32,811",4,4,150,4,40,40,True,LinearRegression,32,32,200,8,32,16,16
"2016-11-17 00:48:41,289",4,4,150,4,40,40,True,LinearRegression,32,32,200,17,15,19,13
"2016-11-17 00:48:49,333",4,4,150,4,40,40,True,LinearRegression,32,32,200,31,1,32,0
"2016-11-17 00:48:57,692",4,4,150,4,40,40,True,LinearRegression,32,32,200,26,6,28,4
"2016-11-17 00:49:06,128",4,4,150,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:49:14,528",4,4,150,4,40,40,True,LinearRegression,32,32,200,19,15,23,9
"2016-11-17 00:49:22,593",4,4,150,4,40,40,True,LinearRegression,32,32,200,16,18,20,12
"2016-11-17 00:49:31,000",4,4,150,4,40,40,True,LinearRegression,32,32,200,15,21,19,13
"2016-11-17 00:49:39,085",4,4,150,4,40,40,True,LinearRegression,32,32,200,17,18,21,12
"2016-11-17 00:49:47,191",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,134,6,43
"2016-11-17 00:49:55,446",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,121,6,45
"2016-11-17 00:50:03,705",4,4,150,4,40,40,True,LinearRegression,32,32,200,10,28,14,20
"2016-11-17 00:50:11,504",4,4,150,4,40,40,True,LinearRegression,32,32,200,24,11,27,6
"2016-11-17 00:50:19,640",4,4,150,4,40,40,True,LinearRegression,32,32,200,21,12,26,6
"2016-11-17 00:50:27,817",4,4,150,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-17 00:50:35,952",4,4,150,4,40,40,True,LinearRegression,32,32,200,8,32,17,15
"2016-11-17 00:50:44,111",4,4,150,4,40,40,True,LinearRegression,32,32,200,12,27,26,6
"2016-11-17 00:50:52,627",4,4,150,4,40,40,True,LinearRegression,32,32,200,22,12,22,12
"2016-11-17 00:51:00,650",4,4,150,4,40,40,True,LinearRegression,32,32,200,29,4,29,4
"2016-11-17 00:51:08,527",4,4,150,4,40,40,True,LinearRegression,32,32,200,22,10,22,10
"2016-11-17 00:51:16,953",4,4,150,4,40,40,True,LinearRegression,32,32,200,7,46,23,13
"2016-11-17 00:51:25,002",4,4,150,4,40,40,True,LinearRegression,32,32,200,22,11,22,11
"2016-11-17 00:51:33,060",4,4,150,4,40,40,True,LinearRegression,32,32,200,6,40,24,8
"2016-11-17 00:51:41,163",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,157,4,67
"2016-11-17 00:51:49,284",4,4,150,4,40,40,True,LinearRegression,32,32,200,4,57,6,52
"2016-11-17 00:51:57,325",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,113,4,52
"2016-11-17 00:52:05,496",4,4,150,4,40,40,True,LinearRegression,32,32,200,23,10,23,10
"2016-11-17 00:52:13,578",4,4,150,4,40,40,True,LinearRegression,32,32,200,18,17,23,9
"2016-11-17 00:52:21,549",4,4,150,4,40,40,True,LinearRegression,32,32,200,20,13,21,12
"2016-11-17 00:52:30,037",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,138,7,44
"2016-11-17 00:52:38,072",4,4,150,4,40,40,True,LinearRegression,32,32,200,25,7,29,3
"2016-11-17 00:52:46,112",4,4,150,4,40,40,True,LinearRegression,32,32,200,21,11,21,11
"2016-11-17 00:52:54,480",4,4,150,4,40,40,True,LinearRegression,32,32,200,26,6,30,2
"2016-11-17 00:53:02,660",4,4,150,4,40,40,True,LinearRegression,32,32,200,10,34,11,31
"2016-11-17 00:53:10,717",4,4,150,4,40,40,True,LinearRegression,32,32,200,30,2,30,2
"2016-11-17 00:53:18,855",4,4,150,4,40,40,True,LinearRegression,32,32,200,0,65,9,30
"2016-11-17 00:53:28,360",4,4,150,4,40,40,True,LinearRegression,32,32,200,19,13,21,11
