"2016-11-17 17:33:15,621",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 17:33:23,173",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 17:33:30,832",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 17:33:38,847",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 17:33:47,079",4,4,102,4,40,40,True,LinearRegression,32,32,200,23,9,23,9
"2016-11-17 17:33:54,811",4,4,102,4,40,40,True,LinearRegression,32,32,200,24,8,24,8
"2016-11-17 17:34:02,625",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,24,8
"2016-11-17 17:34:10,247",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-17 17:34:18,334",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 17:34:26,243",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,27,10,27
"2016-11-17 17:34:33,970",4,4,102,4,40,40,True,LinearRegression,32,32,200,3,51,14,22
