"2016-11-16 23:11:53,241",I,R,Rule,Input size,Input area,Automaton size,Concat before,EstimatorTraining sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 23:11:53,263",I,R,Rule,Input size,Input area,Automaton size,Concat before,EstimatorTraining sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-16 23:12:01,225",4,4,102,4,40,40,True,LinearRegression,32,32,200,22,10,22,10
"2016-11-16 23:12:09,048",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:12:17,380",4,4,102,4,40,40,True,LinearRegression,32,32,200,21,12,22,10
"2016-11-16 23:12:25,189",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:12:33,173",4,4,102,4,40,40,True,LinearRegression,32,32,200,5,45,9,31
