"2017-02-15 10:19:42,245",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:19:48,657",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:19:54,931",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:20:01,096",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:20:07,370",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:20:13,884",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:20:20,126",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,13,29,12,29
"2017-02-15 10:20:26,699",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:20:32,985",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:20:39,795",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,24,8,28,4
"2017-02-15 10:20:46,203",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
