"2016-11-20 18:38:10,566",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-20 18:38:14,130",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:17,190",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:20,708",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:23,660",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:26,392",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:29,661",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:32,728",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:35,912",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:39,257",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:41,938",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:45,166",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:48,363",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:51,395",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:54,733",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:38:57,471",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:00,635",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:03,621",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:06,247",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:09,498",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:12,956",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:16,489",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:19,544",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:22,515",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
"2016-11-20 18:39:25,888",2,4,4,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,160
