"2017-02-15 10:11:54,824",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:12:07,692",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,29,3
"2017-02-15 10:12:21,214",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,98,8,36
"2017-02-15 10:12:34,342",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,24,31,1
"2017-02-15 10:12:47,295",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,5,32,26,6
"2017-02-15 10:13:04,217",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2017-02-15 10:13:17,934",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,17,15
"2017-02-15 10:13:31,705",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,21,13,26,7
"2017-02-15 10:13:44,685",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2017-02-15 10:13:58,507",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,31,1,32,0
"2017-02-15 10:14:12,391",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
