"2017-02-15 10:16:24,912",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:16:31,459",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,9,30,30,2
"2017-02-15 10:16:37,691",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:16:43,908",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:16:50,125",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:16:56,349",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:17:02,660",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:17:08,953",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:17:15,247",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:17:21,537",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:17:27,910",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
