"2016-11-16 17:38:28,542",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 17:38:35,553",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:38:42,340",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:38:49,074",4,8,90,4,40,40,True,32,32,200,16,21
"2016-11-16 17:38:55,913",4,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 17:39:02,960",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:09,654",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:16,929",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:23,678",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:30,359",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:37,052",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:43,819",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:50,632",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:39:57,435",4,8,90,4,40,40,True,32,32,200,16,16
"2016-11-16 17:40:04,299",4,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 17:40:11,070",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:40:17,909",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:40:24,747",4,8,90,4,40,40,True,32,32,200,16,16
"2016-11-16 17:40:32,553",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:40:39,754",4,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 17:40:46,826",4,8,90,4,40,40,True,32,32,200,21,11
"2016-11-16 17:40:53,828",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:41:01,050",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:41:08,254",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:41:15,455",4,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 17:41:22,515",4,8,90,4,40,40,True,32,32,200,16,16
"2016-11-16 17:41:29,680",4,8,90,4,40,40,True,32,32,200,21,11
"2016-11-16 17:41:36,867",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:41:43,955",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:41:51,583",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:41:58,714",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:05,729",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:12,762",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:20,041",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:27,213",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:34,310",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:41,364",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:48,817",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:42:55,966",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:43:03,001",4,8,90,4,40,40,True,32,32,200,22,11
"2016-11-16 17:43:10,467",4,8,90,4,40,40,True,32,32,200,27,6
"2016-11-16 17:43:17,910",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:43:25,190",4,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 17:43:32,665",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:43:39,686",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:43:46,783",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:43:54,085",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:44:01,376",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 17:44:08,594",4,8,90,4,40,40,True,32,32,200,16,16
"2016-11-16 17:44:15,886",4,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 17:44:23,136",4,8,90,4,40,40,True,32,32,200,27,5
