"2016-11-16 18:15:14,135",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 18:15:35,123",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:15:53,157",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:16:13,469",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:16:27,979",4,8,90,4,40,40,True,32,32,200,16,16
"2016-11-16 18:16:46,242",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:17:03,504",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:17:23,718",4,8,90,4,40,40,True,32,32,200,2,41
"2016-11-16 18:17:41,938",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:17:59,395",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:18:19,971",4,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 18:18:36,645",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:18:55,870",4,8,90,4,40,40,True,32,32,200,25,7
"2016-11-16 18:19:13,024",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:19:32,175",4,8,90,4,40,40,True,32,32,200,24,8
"2016-11-16 18:19:51,736",4,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 18:20:10,266",4,8,90,4,40,40,True,32,32,200,24,8
"2016-11-16 18:20:26,067",4,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 18:20:44,699",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:21:02,676",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:21:21,992",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:21:41,119",4,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 18:21:56,279",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:22:14,088",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:22:30,796",4,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 18:22:48,394",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:23:05,545",4,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 18:23:20,301",4,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 18:23:37,903",4,8,90,4,40,40,True,32,32,200,27,5
"2016-11-16 18:23:56,000",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:24:13,910",4,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 18:24:31,111",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:24:46,831",4,8,90,4,40,40,True,32,32,200,24,8
"2016-11-16 18:25:02,723",4,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 18:25:22,168",4,8,90,4,40,40,True,32,32,200,3,31
"2016-11-16 18:25:38,352",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:25:55,448",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:26:12,247",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:26:30,658",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:26:47,393",4,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 18:27:01,531",4,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 18:27:21,025",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:27:38,653",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:27:56,659",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:28:13,149",4,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 18:28:30,368",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:28:49,264",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:29:08,842",4,8,90,4,40,40,True,32,32,200,0,79
"2016-11-16 18:29:26,042",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:29:43,923",4,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 18:29:59,498",4,8,90,4,40,40,True,32,32,200,32,0
