"2017-02-15 10:22:59,975",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:23:06,301",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:23:12,693",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:23:19,132",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:23:25,760",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:23:31,935",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,26,6,28,4
"2017-02-15 10:23:38,153",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:23:44,523",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2017-02-15 10:23:51,109",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:23:57,570",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,15,18,30,2
"2017-02-15 10:24:03,979",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
