"2016-11-29 13:25:20,313",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),Successful,Wrong bits
"2016-11-29 13:25:24,114",32,16,90,4,4,4,True,LinearRegression,32,32,50,0,0,160
"2016-11-29 13:25:27,911",32,16,90,4,4,4,True,LinearRegression,32,32,50,0,0,160
"2016-11-29 13:25:31,699",32,16,90,4,4,4,True,LinearRegression,32,32,50,0,0,161
