"2016-11-19 05:11:20,753",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),R1 correct,R1 wrong bits,R2 correct,R2 wrong bits
"2016-11-19 05:11:28,400",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,156,6,45
"2016-11-19 05:11:34,861",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,158,1,64
"2016-11-19 05:11:41,300",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,3,57
"2016-11-19 05:11:49,218",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,159,5,58
"2016-11-19 05:11:56,336",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,147,10,50
"2016-11-19 05:12:02,260",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,144,10,40
"2016-11-19 05:12:08,418",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,158,3,66
"2016-11-19 05:12:16,317",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,2,67
"2016-11-19 05:12:23,029",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,147,9,49
"2016-11-19 05:12:29,967",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,6,57
"2016-11-19 05:12:36,248",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,4,57
"2016-11-19 05:12:44,201",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 05:12:51,484",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,2,69
"2016-11-19 05:12:58,313",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,127,11,38
"2016-11-19 05:13:05,005",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,114,12,30
"2016-11-19 05:13:11,248",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,154,3,60
"2016-11-19 05:13:18,643",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,63
"2016-11-19 05:13:25,909",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,138
"2016-11-19 05:13:32,728",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,127,14,30
"2016-11-19 05:13:39,013",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,96
"2016-11-19 05:13:44,961",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,155,3,59
"2016-11-19 05:13:51,161",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,150,6,54
"2016-11-19 05:13:58,714",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,158,3,60
"2016-11-19 05:14:05,700",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,145,6,71
"2016-11-19 05:14:11,938",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,157,7,55
"2016-11-19 05:14:19,552",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,157,6,52
"2016-11-19 05:14:25,973",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,140,10,49
"2016-11-19 05:14:33,811",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,158,5,56
"2016-11-19 05:14:40,284",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,159,2,62
"2016-11-19 05:14:47,094",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,158,4,50
"2016-11-19 05:14:54,090",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,9,28,17,18
"2016-11-19 05:15:00,297",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,1,105,11,30
"2016-11-19 05:15:07,129",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,2,69
"2016-11-19 05:15:13,916",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,1,71
"2016-11-19 05:15:20,208",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,160,0,112
"2016-11-19 05:15:28,539",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,1,106,18,20
"2016-11-19 05:15:35,468",4,4,110,4,40,40,True,LinearRegression,32,32,200,0,0,155,4,61
