"2016-11-16 23:14:38,777",I,R,Rule,Input size,Input area,Automaton size,Concat before,EstimatorTraining sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 23:14:38,798",I,R,Rule,Input size,Input area,Automaton size,Concat before,EstimatorTraining sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-16 23:14:47,333",4,4,102,4,40,40,True,LinearRegression,32,32,200,24,8,24,8
"2016-11-16 23:14:56,205",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:15:04,543",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-16 23:15:12,663",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-16 23:15:20,892",4,4,102,4,40,40,True,LinearRegression,32,32,200,6,36,11,28
