"2017-02-15 10:31:09,848",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Point (success),First res. correct,First res. wrong bits,Last res. correct,Last res. wrong bits
"2017-02-15 10:31:16,202",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,31,1
"2017-02-15 10:31:22,428",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:31:28,729",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:31:34,930",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,31,1
"2017-02-15 10:31:41,489",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,16,16,32,0
"2017-02-15 10:31:47,965",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:31:54,457",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:32:00,985",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,8,31,31,1
"2017-02-15 10:32:07,537",4,8,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2017-02-15 10:32:14,101",4,8,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
