"2016-11-18 09:47:05,477",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-18 09:47:09,177",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:47:12,584",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:47:16,185",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:47:19,657",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,25,9,25,8
"2016-11-18 09:47:23,120",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,20,12,32,0
"2016-11-18 09:47:26,692",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,31,1,31,1
"2016-11-18 09:47:30,239",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:47:33,718",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,20,12
"2016-11-18 09:47:37,254",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,32,16,16
"2016-11-18 09:47:40,768",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:47:44,433",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:47:48,075",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,18,14
"2016-11-18 09:47:51,635",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,64,6,36
"2016-11-18 09:47:55,136",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,17,31,1
"2016-11-18 09:47:58,787",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,12,22,10
"2016-11-18 09:48:02,419",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,18,15,18,15
"2016-11-18 09:48:06,212",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:48:09,803",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,12,24,26,6
"2016-11-18 09:48:13,340",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:48:16,966",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,14,24,18,19
"2016-11-18 09:48:20,863",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,26,6,27,5
"2016-11-18 09:48:24,588",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:48:28,194",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:48:31,772",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:48:35,498",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,9,34,16,19
"2016-11-18 09:48:39,092",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-18 09:48:42,764",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,8,38,15,21
"2016-11-18 09:48:46,381",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:48:49,962",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,25,7,26,6
"2016-11-18 09:48:53,573",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-18 09:48:57,324",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:49:01,341",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,13,19
"2016-11-18 09:49:04,963",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:49:08,573",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,20,23,9
"2016-11-18 09:49:12,231",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,7,45,12,25
"2016-11-18 09:49:15,936",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,27,5,27,5
"2016-11-18 09:49:19,525",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,26,6
"2016-11-18 09:49:23,104",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:49:26,900",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:49:30,514",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,25,7
"2016-11-18 09:49:34,275",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,11,21,27,5
"2016-11-18 09:49:38,142",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,32,16,16
"2016-11-18 09:49:41,739",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,10,22,10
"2016-11-18 09:49:45,268",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
"2016-11-18 09:49:48,852",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,10,22,10
"2016-11-18 09:49:52,529",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,23,9,25,7
"2016-11-18 09:49:56,159",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,0,41,12,22
"2016-11-18 09:49:59,847",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,25,7,29,3
"2016-11-18 09:50:03,504",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,16,16
"2016-11-18 09:50:07,116",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,28,4,28,4
"2016-11-18 09:50:10,746",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:50:14,375",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,16,16,19,13
"2016-11-18 09:50:18,094",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,30,3,30,2
"2016-11-18 09:50:21,709",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,21,11,27,5
"2016-11-18 09:50:25,232",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:50:28,814",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,17,15,29,3
"2016-11-18 09:50:32,637",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:50:36,237",4,4,90,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-18 09:50:39,832",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,9,31,13,30
"2016-11-18 09:50:43,415",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,20,12,20,12
"2016-11-18 09:50:47,051",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,22,10,26,6
"2016-11-18 09:50:50,718",4,4,90,4,40,40,True,LinearRegression,32,32,200,0,15,17,26,6
