"2016-11-17 20:19:34,164",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 20:19:35,726",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,30,2,30,2
"2016-11-17 20:19:37,176",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,2,46,24,11
"2016-11-17 20:19:38,663",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,1,38,28,5
"2016-11-17 20:19:40,161",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,2,55,8,43
"2016-11-17 20:19:41,707",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,16,16,26,6
"2016-11-17 20:19:43,239",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,7,36,15,21
"2016-11-17 20:19:44,771",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,16,16,32,0
"2016-11-17 20:19:46,268",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,6,41,10,25
"2016-11-17 20:19:48,018",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,20,12,20,12
"2016-11-17 20:19:49,537",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,16,16,25,7
