"2016-11-17 11:53:16,536",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 11:54:43,105",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,39,25,7
"2016-11-17 11:54:44,514",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,31,1
"2016-11-17 11:54:45,958",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,30,27,5
"2016-11-17 11:54:47,477",4,4,102,4,40,40,True,LinearRegression,32,32,20,23,9,24,8
"2016-11-17 11:54:48,936",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,9,27,6
"2016-11-17 11:54:50,266",4,4,102,4,40,40,True,LinearRegression,32,32,20,28,4,28,4
"2016-11-17 11:54:51,668",4,4,102,4,40,40,True,LinearRegression,32,32,20,18,14,21,11
"2016-11-17 11:54:53,070",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,29,3
"2016-11-17 11:54:54,485",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,35,17,19
"2016-11-17 11:54:55,902",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:54:57,326",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,81,11,32
"2016-11-17 11:54:58,749",4,4,102,4,40,40,True,LinearRegression,32,32,20,18,16,21,13
"2016-11-17 11:55:00,203",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,19,13
"2016-11-17 11:55:01,603",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,35,21,13
"2016-11-17 11:55:03,136",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,22,10
"2016-11-17 11:55:04,599",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,20,19,17
"2016-11-17 11:55:05,981",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,32,32,0
"2016-11-17 11:55:07,361",4,4,102,4,40,40,True,LinearRegression,32,32,20,17,15,27,5
"2016-11-17 11:55:08,738",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:55:10,260",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:55:11,757",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,32,15,23
"2016-11-17 11:55:13,309",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,32,0
"2016-11-17 11:55:14,645",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,45,15,18
"2016-11-17 11:55:16,065",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,24,8
"2016-11-17 11:55:17,532",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,28,4
"2016-11-17 11:55:19,081",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:55:20,659",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 11:55:22,160",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:55:23,734",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,17,15
"2016-11-17 11:55:25,159",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,36,15,21
"2016-11-17 11:55:26,719",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,12,20
"2016-11-17 11:55:28,186",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,17,31,1
"2016-11-17 11:55:29,627",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,28,11,26
"2016-11-17 11:55:31,041",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,16,16
"2016-11-17 11:55:32,474",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:55:33,906",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,14,18
"2016-11-17 11:55:35,498",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,29,20,13
"2016-11-17 11:55:37,066",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:55:38,916",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,14,18
"2016-11-17 11:55:40,562",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
